azimuth,elevation,temperature,humidity,vPanel,vPyra
144.768,66.708,37.5,18.6,2.176,1.811
145.311,66.821,41.1,16.6,2.152,1.817
145.867,66.934,43.3,14.8,2.209,1.82
146.473,67.053,44.6,14.0,2.093,1.822
146.994,67.154,43.8,14.3,2.039,1.827
147.555,67.26,44.7,13.5,1.983,1.827
148.13,67.366,44.8,13.7,2.054,1.829
148.71,67.471,41.7,15.3,1.931,1.83
149.294,67.574,44.0,14.2,1.893,1.827
149.882,67.675,44.2,14.1,1.944,1.833
150.466,67.772,45.8,13.4,1.851,1.838
151.064,67.87,44.6,13.7,1.932,1.844
151.667,67.965,45.7,13.1,1.873,1.85
152.274,68.059,41.4,16.2,1.844,1.854
152.885,68.151,40.2,16.5,1.882,1.862
153.491,68.239,42.0,15.7,1.883,1.863
154.112,68.327,44.7,13.6,1.91,1.869
154.726,68.412,45.2,13.0,1.926,1.874
155.355,68.496,44.0,12.9,1.881,1.876
155.989,68.578,45.6,12.6,1.829,1.87
156.626,68.658,44.9,12.8,1.81,1.866
157.257,68.735,44.2,13.0,1.795,1.861
157.934,68.815,45.0,12.7,1.777,1.851
158.553,68.885,46.6,12.0,1.78,1.849
159.206,68.957,41.9,13.8,1.789,1.854
159.854,69.026,45.3,12.9,1.798,1.857
160.515,69.093,44.7,12.7,1.794,1.863
161.18,69.159,39.6,16.7,1.785,1.87
161.838,69.221,41.2,15.8,1.79,1.876
162.521,69.283,45.9,12.8,1.792,1.878
163.186,69.341,44.8,13.1,1.781,1.871
163.865,69.397,44.6,12.8,1.783,1.873
164.536,69.45,44.3,13.1,1.783,1.873
165.222,69.502,42.7,14.3,1.793,1.882
165.91,69.552,43.1,14.6,1.806,1.893
166.601,69.599,43.7,13.6,1.809,1.895
167.284,69.644,45.1,12.8,1.816,1.902
167.981,69.686,46.0,12.8,1.804,1.891
168.68,69.726,46.3,12.4,1.801,1.889
169.382,69.764,46.5,12.2,1.803,1.889
170.086,69.8,45.2,12.8,1.8,1.886
170.781,69.832,41.0,15.9,1.795,1.886
171.489,69.863,44.1,13.8,1.79,1.884
172.187,69.891,45.8,12.9,1.785,1.88
172.899,69.916,46.0,12.3,1.783,1.878
173.612,69.94,46.3,12.0,1.781,1.877
174.326,69.961,47.8,11.6,1.78,1.869
175.042,69.979,47.7,11.6,1.781,1.878
175.747,69.995,47.4,11.3,1.815,1.876
176.465,70.008,47.3,11.1,1.842,1.876
177.184,70.019,46.5,11.7,1.821,1.876
177.891,70.027,43.3,14.2,1.795,1.885
178.611,70.033,41.9,13.7,1.797,1.889
179.342,70.037,41.2,14.7,1.795,1.892
180.051,70.038,41.5,14.8,1.792,1.891
180.782,70.036,45.2,12.1,1.786,1.886
181.479,70.032,45.6,11.6,1.783,1.884
182.199,70.026,45.9,11.5,1.784,1.883
182.906,70.017,46.0,11.9,1.786,1.886
183.625,70.005,47.1,11.4,1.794,1.891
184.342,69.991,47.5,11.2,1.8,1.896
185.059,69.975,42.1,13.7,1.804,1.903
185.774,69.956,42.9,13.8,1.808,1.907
186.489,69.934,43.1,14.0,1.799,1.904
187.19,69.911,45.2,12.8,1.786,1.893
187.901,69.884,47.0,11.6,1.787,1.891
188.599,69.856,46.3,11.7,1.776,1.883
189.307,69.825,47.2,11.7,1.766,1.877
190.012,69.791,48.2,11.3,1.77,1.878
190.716,69.755,45.0,12.4,1.763,1.875
191.406,69.717,40.2,15.9,1.762,1.88
192.104,69.676,46.2,12.1,1.77,1.885
192.8,69.633,46.1,11.8,1.773,1.887
193.483,69.588,47.7,11.5,1.768,1.88
194.173,69.54,47.9,11.3,1.773,1.883
194.872,69.489,47.0,11.9,1.761,1.882
195.546,69.438,47.5,11.5,1.758,1.878
196.227,69.383,47.6,11.5,1.752,1.874
196.895,69.327,42.2,14.7,1.753,1.876
197.57,69.268,44.9,12.8,1.747,1.875
198.241,69.206,40.0,15.8,1.742,1.873
198.898,69.143,45.0,13.1,1.737,1.873
199.562,69.077,47.7,11.8,1.734,1.871
200.223,69.009,48.7,11.3,1.738,1.872
200.88,68.939,45.1,12.5,1.735,1.871
201.522,68.868,47.7,11.7,1.735,1.871
202.171,68.793,47.8,11.4,1.73,1.87
202.816,68.717,47.7,11.6,1.726,1.868
203.456,68.638,42.9,13.7,1.723,1.864
204.082,68.559,41.7,14.5,1.716,1.863
204.715,68.476,45.6,12.3,1.71,1.858
205.343,68.392,47.5,11.3,1.698,1.849
205.956,68.307,46.4,12.0,1.687,1.84
206.576,68.218,47.8,11.3,1.689,1.845
207.191,68.128,48.4,11.1,1.693,1.849
207.801,68.035,41.4,14.7,1.693,1.849
208.397,67.943,42.0,14.8,1.682,1.846
209.008,67.845,41.4,14.8,1.682,1.846
209.596,67.749,39.0,16.1,1.673,1.849
210.178,67.651,40.3,15.6,1.674,1.849
210.766,67.549,41.2,14.8,1.674,1.851
211.349,67.446,44.6,12.8,1.674,1.852
211.928,67.341,41.3,14.5,1.671,1.852
212.492,67.236,37.8,16.8,1.667,1.851
213.062,67.128,40.3,15.0,1.668,1.858
213.626,67.018,44.2,12.6,1.674,1.864
214.186,66.907,43.9,12.4,1.661,1.855
214.733,66.796,47.4,11.1,1.662,1.852
215.283,66.681,46.8,11.3,1.653,1.848
215.829,66.565,42.1,14.2,1.641,1.844
216.362,66.449,40.2,15.1,1.635,1.835
216.899,66.329,43.3,13.3,1.628,1.831
217.431,66.209,44.4,13.2,1.621,1.826
217.958,66.087,47.7,11.3,1.617,1.828
218.473,65.965,46.7,11.6,1.619,1.824
218.991,65.84,47.3,11.3,1.62,1.825
219.505,65.713,43.9,12.7,1.609,1.819
220.006,65.588,42.0,14.1,1.607,1.819
220.511,65.458,46.8,11.8,1.607,1.817
221.02,65.326,47.4,11.9,1.602,1.814
221.508,65.196,46.7,12.2,1.599,1.813
221.999,65.063,41.5,14.9,1.586,1.806
222.478,64.931,46.1,13.0,1.59,1.811
222.961,64.795,41.6,13.2,1.581,1.81
223.44,64.658,43.1,13.1,1.577,1.807
223.906,64.523,43.9,11.8,1.568,1.802
224.376,64.383,45.8,11.5,1.559,1.796
224.842,64.243,41.9,13.4,1.546,1.785
225.303,64.102,37.8,16.5,1.536,1.782
225.753,63.961,39.6,15.2,1.533,1.781
226.207,63.818,41.4,14.1,1.533,1.779
226.656,63.673,43.1,13.5,1.527,1.778
227.101,63.527,44.8,12.4,1.522,1.774
227.535,63.382,43.5,13.3,1.52,1.775
227.972,63.234,43.1,13.6,1.516,1.772
228.405,63.085,42.7,13.9,1.509,1.77
228.828,62.938,46.0,12.4,1.502,1.768
229.253,62.787,42.3,14.2,1.498,1.766
229.675,62.635,44.8,12.9,1.497,1.764
230.093,62.482,44.5,13.2,1.492,1.762
230.501,62.331,43.5,13.4,1.495,1.76
230.911,62.176,44.9,13.1,1.49,1.761
231.318,62.021,41.2,15.6,1.482,1.757
231.728,61.862,37.5,17.5,1.477,1.755
232.127,61.705,39.4,16.4,1.486,1.752
232.511,61.552,40.0,16.1,1.475,1.747
232.903,61.393,43.2,13.1,1.473,1.747
238.117,59.058,40.2,14.7,1.409,1.713
238.462,58.888,43.3,12.7,1.405,1.712
238.804,58.717,41.9,13.1,1.396,1.707
239.159,58.538,45.3,11.4,1.386,1.695
239.473,58.377,46.9,11.0,1.383,1.698
239.802,58.207,47.8,11.0,1.361,1.673
240.132,58.034,45.4,11.2,1.359,1.677
240.461,57.861,47.4,10.4,1.354,1.674
240.786,57.687,47.5,10.6,1.345,1.67
241.104,57.515,46.6,11.6,1.338,1.662
241.424,57.34,48.2,10.7,1.325,1.652
241.742,57.164,46.2,11.1,1.325,1.654
242.053,56.99,48.0,10.2,1.328,1.659
242.365,56.814,48.0,10.2,1.32,1.654
242.676,56.636,46.7,10.5,1.313,1.652
242.984,56.459,45.7,11.5,1.294,1.638
243.29,56.28,47.4,11.1,1.288,1.633
243.598,56.099,47.2,11.1,1.282,1.63
243.89,55.925,47.2,11.1,1.278,1.631
244.189,55.746,44.7,12.8,1.266,1.625
244.481,55.569,41.1,15.2,1.256,1.62
244.775,55.388,41.2,14.6,1.237,1.611
245.067,55.207,44.0,13.1,1.231,1.607
245.353,55.029,45.2,12.6,1.227,1.606
245.641,54.847,45.6,12.4,1.224,1.605
245.932,54.662,41.8,14.5,1.221,1.608
246.211,54.482,45.7,12.3,1.211,1.597
246.489,54.302,43.4,13.5,1.2,1.591
246.769,54.119,44.7,12.9,1.192,1.589
247.047,53.935,40.1,14.5,1.184,1.581
247.323,53.751,43.4,13.1,1.158,1.562
247.593,53.569,41.1,14.3,1.168,1.575
247.865,53.384,39.7,14.9,1.169,1.578
248.135,53.199,42.7,13.4,1.164,1.577
248.404,53.014,43.3,12.9,1.157,1.571
248.667,52.831,45.2,11.6,1.148,1.566
248.932,52.644,45.1,11.8,1.113,1.537
249.195,52.458,46.7,11.1,1.13,1.557
249.457,52.271,45.6,11.5,1.127,1.554
249.712,52.087,45.5,11.2,1.12,1.55
249.97,51.899,38.8,15.4,1.114,1.548
250.227,51.711,38.7,14.9,1.104,1.543
250.482,51.523,40.5,14.0,1.095,1.537
250.735,51.335,45.2,11.6,1.088,1.531
250.983,51.149,45.6,11.4,1.082,1.528
251.233,50.96,42.0,13.1,1.061,1.512
