azimuth,elevation,temperature,humidity,vPanel,vPyra
132.214,58.062,52.4,3.1,1.62,1.806
132.589,58.205,51.1,3.4,1.611,1.8
132.973,58.349,52.5,3.4,1.619,1.803
133.366,58.494,54.9,2.8,1.626,1.805
133.761,58.639,56.1,2.1,1.631,1.808
134.16,58.782,56.1,2.3,1.631,1.81
134.561,58.925,57.4,1.9,1.634,1.809
134.966,59.067,58.3,2.0,1.648,1.821
135.374,59.207,57.8,1.8,1.652,1.823
135.778,59.345,57.2,1.9,1.651,1.825
136.191,59.483,56.9,2.0,1.662,1.832
136.608,59.621,57.0,1.8,1.673,1.842
137.027,59.757,55.8,1.9,1.665,1.837
137.45,59.893,54.4,2.2,1.67,1.843
137.876,60.027,52.6,2.5,1.667,1.843
138.298,60.158,53.0,2.4,1.671,1.847
138.73,60.29,51.8,2.7,1.668,1.845
139.165,60.421,53.0,2.9,1.675,1.851
139.603,60.551,53.9,2.4,1.682,1.853
140.045,60.68,54.5,2.4,1.682,1.853
140.49,60.807,54.9,2.4,1.684,1.853
140.938,60.933,55.6,2.2,1.694,1.86
141.381,61.056,55.0,2.2,1.691,1.859
141.821,61.176,54.2,2.3,1.695,1.863
142.271,61.297,54.0,2.2,1.703,1.869
142.725,61.417,53.4,2.3,1.709,1.875
143.181,61.535,55.2,2.1,1.712,1.874
143.641,61.652,56.1,1.8,1.726,1.884
144.111,61.769,56.7,1.9,1.709,1.87
144.584,61.886,55.7,1.7,1.729,1.887
145.061,62.0,54.4,1.6,1.729,1.889
145.534,62.112,55.6,1.7,1.732,1.891
146.017,62.224,56.6,1.2,1.73,1.887
146.504,62.335,56.0,1.2,1.731,1.891
146.993,62.444,57.2,1.4,1.733,1.89
147.486,62.552,58.2,1.1,1.729,1.887
147.983,62.659,56.9,1.3,1.732,1.89
148.482,62.764,54.1,1.4,1.734,1.902
148.977,62.865,52.5,1.8,1.733,1.897
149.483,62.967,53.2,1.7,1.742,1.904
149.993,63.068,52.9,1.5,1.741,1.905
150.505,63.167,53.0,1.5,1.743,1.906
151.021,63.264,53.2,1.5,1.741,1.905
151.54,63.36,54.5,1.4,1.744,1.908
152.062,63.454,56.3,1.3,1.752,1.909
152.587,63.547,56.5,1.5,1.751,1.914
153.116,63.638,56.6,1.1,1.759,1.917
153.639,63.725,55.4,1.4,1.756,1.914
154.165,63.812,55.3,1.4,1.761,1.922
154.693,63.896,56.4,1.2,1.756,1.917
155.225,63.979,56.4,1.3,1.753,1.913
155.76,64.061,56.2,1.1,1.748,1.909
156.298,64.14,56.0,1.2,1.757,1.917
156.838,64.218,55.8,1.5,1.762,1.923
157.381,64.295,57.3,1.3,1.771,1.927
157.936,64.37,59.6,1.1,1.774,1.927
158.494,64.444,60.6,0.9,1.776,1.929
159.054,64.516,61.1,0.8,1.778,1.927
159.617,64.587,61.1,0.7,1.769,1.93
160.183,64.655,60.2,0.8,1.777,1.933
160.752,64.722,58.8,1.0,1.784,1.941
161.314,64.785,58.4,0.8,1.778,1.937
161.887,64.848,59.7,0.7,1.75,1.922
162.463,64.909,60.0,0.7,1.779,1.934
163.041,64.968,60.0,0.8,1.771,1.931
163.622,65.025,59.2,0.8,1.769,1.932
164.205,65.08,56.0,1.3,1.769,1.938
164.79,65.133,56.6,1.1,1.762,1.935
165.368,65.184,58.0,0.8,1.766,1.934
165.957,65.233,56.9,0.8,1.76,1.933
166.549,65.28,56.9,0.9,1.756,1.929
167.142,65.326,56.6,1.0,1.765,1.936
167.728,65.368,56.4,1.0,1.762,1.935
168.315,65.409,56.6,1.0,1.765,1.937
168.904,65.447,54.7,1.4,1.76,1.938
169.485,65.483,54.5,1.5,1.755,1.935
170.077,65.518,55.4,1.4,1.754,1.933
170.671,65.551,55.2,1.1,1.751,1.932
171.275,65.582,54.0,1.3,1.745,1.93
171.881,65.611,55.2,1.3,1.747,1.933
172.488,65.638,56.8,1.1,1.755,1.937
173.096,65.663,58.0,0.9,1.765,1.944
173.706,65.686,56.6,1.1,1.762,1.946
174.306,65.706,56.0,1.3,1.761,1.946
174.917,65.724,55.3,1.5,1.753,1.941
175.529,65.741,55.5,1.1,1.751,1.938
176.141,65.755,54.7,1.1,1.749,1.939
176.755,65.767,56.0,1.0,1.752,1.94
177.368,65.777,56.9,0.8,1.757,1.944
177.982,65.785,57.6,0.8,1.753,1.941
178.587,65.791,57.8,0.8,1.75,1.945
179.201,65.795,57.2,0.9,1.748,1.94
179.816,65.796,58.1,0.8,1.751,1.939
180.43,65.795,59.0,0.6,1.748,1.938
181.045,65.793,57.7,0.9,1.748,1.939
181.659,65.788,56.4,1.1,1.744,1.938
182.264,65.781,54.8,1.2,1.737,1.937
182.858,65.772,55.7,1.2,1.733,1.934
183.461,65.761,55.4,1.5,1.731,1.935
184.064,65.748,56.5,1.2,1.735,1.935
184.667,65.733,56.7,0.9,1.734,1.932
185.269,65.716,57.9,0.8,1.734,1.935
185.879,65.696,57.6,0.8,1.735,1.935
186.489,65.674,55.9,1.0,1.733,1.936
187.088,65.651,57.0,1.0,1.723,1.933
187.696,65.625,57.8,0.7,1.728,1.93
188.302,65.597,58.9,0.7,1.731,1.932
188.907,65.567,60.6,0.5,1.733,1.933
189.511,65.535,61.9,0.3,1.734,1.933
190.114,65.5,62.6,0.2,1.728,1.933
190.714,65.464,61.3,0.4,1.733,1.936
191.314,65.426,60.0,0.4,1.727,1.935
191.911,65.385,60.3,0.3,1.725,1.931
192.507,65.343,60.1,0.4,1.735,1.94
193.092,65.299,57.0,0.5,1.716,1.928
193.684,65.253,57.1,0.5,1.722,1.933
194.274,65.204,58.0,0.5,1.71,1.928
194.862,65.154,56.8,0.5,1.708,1.928
195.448,65.101,55.5,0.7,1.707,1.927
196.032,65.047,56.0,0.7,1.702,1.922
196.605,64.992,55.2,0.8,1.707,1.928
197.175,64.934,54.8,0.8,1.7,1.925
197.743,64.875,54.7,0.9,1.699,1.929
198.308,64.814,56.6,0.7,1.7,1.925
198.871,64.751,57.0,0.4,1.696,1.924
199.432,64.687,56.8,0.7,1.702,1.929
199.99,64.62,55.6,0.7,1.701,1.932
200.545,64.552,54.6,0.8,1.704,1.938
201.107,64.481,55.3,0.8,1.648,1.881
201.666,64.408,54.7,1.1,1.563,1.806
202.223,64.333,55.1,0.9,1.164,1.477
202.776,64.256,55.4,0.8,1.341,1.659
203.327,64.178,56.4,0.8,1.265,1.574
203.874,64.098,55.7,0.5,1.245,1.55
204.411,64.017,53.7,0.6,1.37,1.635
