azimuth,elevation,temperature,humidity,vPanel,vPyra
90.756,30.768,34.3,25.1,0.61,0.84
90.931,30.97,34.5,25.5,0.623,0.859
91.101,31.167,34.8,25.1,0.63,0.869
91.274,31.366,35.2,24.6,0.638,0.877
91.447,31.565,35.5,24.0,0.641,0.878
91.624,31.768,35.5,24.2,0.648,0.887
91.795,31.964,35.6,21.9,0.649,0.886
91.97,32.164,35.7,23.3,0.666,0.905
92.145,32.363,35.6,22.6,0.674,0.914
92.32,32.562,35.2,23.8,0.681,0.921
92.496,32.761,35.8,23.2,0.694,0.934
92.67,32.958,36.3,22.6,0.715,0.959
92.846,33.157,36.5,21.5,0.713,0.954
93.023,33.356,36.8,21.7,0.722,0.964
93.204,33.558,36.7,20.1,0.727,0.967
93.379,33.754,36.4,19.6,0.731,0.974
93.558,33.953,36.4,19.3,0.74,0.979
93.74,34.156,36.3,19.2,0.749,0.989
93.916,34.352,37.0,18.9,0.75,0.987
94.096,34.551,36.7,18.9,0.754,0.991
94.277,34.749,36.8,19.0,0.749,0.981
94.455,34.945,37.4,19.5,0.758,0.993
94.64,35.147,37.7,19.1,0.76,0.993
94.822,35.346,37.9,19.0,0.755,0.983
95.002,35.542,38.1,19.3,0.758,0.989
95.185,35.74,38.3,19.7,0.781,1.016
95.371,35.942,38.0,19.7,0.792,1.027
95.553,36.138,38.1,19.9,0.802,1.034
95.738,36.336,37.6,20.3,0.809,1.045
95.923,36.535,36.6,19.9,0.82,1.057
96.109,36.733,36.0,19.7,0.828,1.067
96.296,36.931,36.2,20.3,0.834,1.072
96.483,37.13,36.2,19.4,0.843,1.081
96.668,37.325,36.3,19.5,0.85,1.087
96.859,37.526,37.0,19.3,0.855,1.092
97.048,37.724,36.9,18.9,0.867,1.103
97.235,37.919,37.6,18.2,0.876,1.108
97.429,38.12,37.5,18.6,0.881,1.113
97.62,38.318,38.6,17.9,0.885,1.118
97.808,38.512,39.3,17.2,0.89,1.121
98.007,38.716,39.9,16.7,0.9,1.131
98.194,38.907,40.1,16.3,0.905,1.135
98.388,39.105,40.3,16.2,0.911,1.141
98.579,39.299,41.0,15.9,0.919,1.15
98.777,39.499,41.0,15.7,0.926,1.157
98.973,39.696,41.1,15.5,0.933,1.165
99.167,39.89,40.3,15.7,0.937,1.169
99.368,40.09,39.8,15.9,0.946,1.178
99.563,40.284,40.5,15.8,0.948,1.178
99.762,40.481,41.1,15.5,0.956,1.187
99.961,40.677,41.3,15.5,0.961,1.19
100.165,40.877,41.9,14.9,0.969,1.198
100.363,41.07,42.3,14.5,0.976,1.204
100.566,41.266,42.6,14.6,0.978,1.207
100.769,41.462,42.3,14.6,0.984,1.21
100.972,41.658,42.5,14.5,0.99,1.218
101.177,41.854,42.9,14.3,0.993,1.217
101.383,42.05,42.7,14.4,1.003,1.228
101.589,42.245,41.6,15.0,1.006,1.231
101.793,42.437,41.3,15.5,1.011,1.239
102.005,42.636,41.7,15.2,1.019,1.247
102.211,42.828,42.1,14.9,1.026,1.254
102.421,43.023,42.6,14.7,1.032,1.261
102.632,43.218,43.1,14.4,1.037,1.265
102.844,43.412,43.7,14.0,1.042,1.27
103.05,43.6,43.8,13.9,1.041,1.268
103.264,43.795,44.1,13.7,1.047,1.279
103.479,43.989,44.4,13.4,1.055,1.286
103.695,44.183,44.7,13.3,1.065,1.298
103.912,44.377,44.7,13.1,1.067,1.3
104.126,44.567,45.0,13.1,1.068,1.301
104.345,44.76,45.0,12.9,1.076,1.312
104.565,44.954,45.3,12.9,1.09,1.324
104.783,45.144,45.2,12.7,1.094,1.328
105.002,45.333,44.6,13.2,1.1,1.334
105.232,45.532,43.0,13.5,1.107,1.341
105.453,45.722,43.4,13.1,1.112,1.344
105.679,45.914,41.9,14.1,1.122,1.353
105.902,46.103,42.2,14.1,1.126,1.356
106.13,46.295,42.9,13.7,1.127,1.354
106.363,46.489,43.5,13.1,1.147,1.368
106.589,46.677,43.4,13.1,1.147,1.369
106.821,46.869,44.0,12.9,1.156,1.374
107.054,47.059,44.6,12.7,1.167,1.38
107.288,47.25,45.1,12.2,1.179,1.388
107.523,47.441,45.7,12.0,1.184,1.392
107.752,47.625,44.7,12.2,1.202,1.405
