azimuth,elevation,temperature,humidity,vPanel,vPyra
98.306,36.179,34.2,27.1,0.852,1.072
98.364,36.239,35.1,25.7,0.855,1.074
98.553,36.433,38.1,22.2,0.862,1.081
98.743,36.627,40.6,19.4,0.869,1.085
98.936,36.824,42.2,17.6,0.878,1.088
99.13,37.021,43.9,16.4,0.885,1.092
99.325,37.218,44.9,15.6,0.891,1.1
99.517,37.412,45.7,15.0,0.898,1.107
99.713,37.609,46.8,14.2,0.905,1.111
99.91,37.805,47.8,13.4,0.909,1.116
100.108,38.002,48.5,13.1,0.916,1.122
100.306,38.198,49.2,12.6,0.926,1.13
100.505,38.394,49.5,12.2,0.935,1.137
100.705,38.59,49.8,12.1,0.944,1.142
100.905,38.786,50.1,11.8,0.949,1.149
101.107,38.982,50.6,11.6,0.956,1.156
101.305,39.175,51.1,11.4,0.96,1.163
101.502,39.364,51.6,11.1,0.964,1.168
101.702,39.556,51.2,11.0,0.97,1.176
101.903,39.748,51.6,10.9,0.976,1.182
102.105,39.941,51.1,11.0,0.981,1.188
102.311,40.136,51.2,11.0,0.985,1.192
102.518,40.33,50.9,11.3,0.991,1.2
102.726,40.525,50.9,11.1,0.995,1.204
102.934,40.72,49.8,11.6,0.999,1.21
103.14,40.911,49.6,11.9,1.004,1.216
103.351,41.105,49.7,11.8,1.01,1.22
103.562,41.299,49.9,11.8,1.014,1.225
103.774,41.493,50.5,11.3,1.02,1.231
103.987,41.687,51.1,11.1,1.028,1.238
104.201,41.88,51.3,10.9,1.035,1.242
104.416,42.073,51.8,10.7,1.04,1.245
104.628,42.264,52.3,10.4,1.05,1.252
104.842,42.453,52.7,10.2,1.06,1.258
105.056,42.643,53.0,10.0,1.067,1.266
105.268,42.83,53.3,9.9,1.075,1.27
105.484,43.019,53.9,9.6,1.088,1.277
105.705,43.211,54.1,9.5,1.09,1.284
105.927,43.403,53.1,9.8,1.099,1.292
106.15,43.595,53.5,9.8,1.113,1.295
106.391,43.802,54.0,9.5,1.122,1.303
106.598,43.978,54.0,9.3,1.13,1.31
106.825,44.169,54.5,9.2,1.139,1.315
107.052,44.36,55.0,8.9,1.145,1.319
107.28,44.55,55.3,8.7,1.154,1.328
107.506,44.738,55.4,8.6,1.163,1.331
107.737,44.928,55.4,8.7,1.173,1.337
107.968,45.118,55.7,8.6,1.185,1.343
108.201,45.307,56.1,8.4,1.187,1.346
108.432,45.494,56.7,8.3,1.193,1.35
108.663,45.68,56.8,8.2,1.203,1.357
108.896,45.866,56.9,8.1,1.205,1.361
109.13,46.051,56.3,8.3,1.217,1.367
109.366,46.237,56.0,8.4,1.22,1.37
109.606,46.425,56.1,8.4,1.226,1.374
109.847,46.613,55.9,8.4,1.237,1.381
110.09,46.8,56.0,8.4,1.24,1.386
110.335,46.988,56.7,8.2,1.25,1.392
110.58,47.174,57.1,8.0,1.259,1.396
110.827,47.361,57.6,7.8,1.265,1.401
111.075,47.547,57.9,7.6,1.27,1.404
111.325,47.733,57.8,7.5,1.283,1.41
111.576,47.919,57.5,7.7,1.284,1.41
111.825,48.102,57.8,7.6,1.294,1.416
112.079,48.287,58.2,7.4,1.301,1.422
112.33,48.468,58.4,7.3,1.31,1.428
112.587,48.653,58.6,7.2,1.314,1.433
112.837,48.831,58.7,7.2,1.324,1.441
113.093,49.012,59.2,7.2,1.335,1.448
113.355,49.195,59.8,6.9,1.344,1.455
113.618,49.378,60.2,6.7,1.352,1.463
113.882,49.561,60.2,6.7,1.365,1.47
114.144,49.74,60.6,6.5,1.367,1.472
114.412,49.922,60.9,6.4,1.37,1.476
114.682,50.104,61.0,6.3,1.379,1.483
114.953,50.285,61.2,6.3,1.385,1.489
115.225,50.465,61.6,6.1,1.394,1.496
115.5,50.646,61.8,6.2,1.404,1.501
115.781,50.828,61.9,6.2,1.415,1.506
116.054,51.005,61.2,5.8,1.422,1.513
116.329,51.181,60.1,6.3,1.431,1.52
116.607,51.357,60.0,6.2,1.428,1.522
116.881,51.53,59.2,6.5,1.436,1.525
117.161,51.704,59.1,6.5,1.443,1.529
117.448,51.882,58.5,6.7,1.447,1.534
117.737,52.059,57.9,6.9,1.456,1.54
118.028,52.235,58.1,6.9,1.464,1.545
118.32,52.411,59.1,6.6,1.468,1.547
118.615,52.586,58.8,6.9,1.473,1.551
118.912,52.761,58.0,7.0,1.474,1.557
119.21,52.936,57.3,7.2,1.486,1.563
119.506,53.107,57.1,7.2,1.494,1.566
119.808,53.28,57.6,7.1,1.498,1.576
120.113,53.453,58.5,6.8,1.5,1.577
120.42,53.625,59.5,6.4,1.511,1.582
120.724,53.794,60.5,6.2,1.514,1.584
121.03,53.963,60.5,6.2,1.517,1.586
121.338,54.131,61.4,5.9,1.524,1.589
121.648,54.298,62.1,5.6,1.533,1.593
121.966,54.468,62.8,5.5,1.55,1.601
122.285,54.637,63.0,5.3,1.558,1.603
122.607,54.805,63.0,5.3,1.555,1.605
122.932,54.973,63.4,5.2,1.572,1.608
123.258,55.14,63.5,5.1,1.576,1.615
123.582,55.304,63.7,5.1,1.582,1.62
123.913,55.47,64.1,5.0,1.587,1.624
124.242,55.632,63.5,5.2,1.593,1.63
124.572,55.794,62.1,5.5,1.598,1.634
