azimuth,elevation,temperature,humidity,vPanel,vPyra
104.586,48.246,33.8,27.5,0.953,1.244
104.871,48.488,35.1,25.5,0.965,1.255
105.155,48.727,35.3,25.1,0.974,1.267
105.429,48.956,34.8,25.8,0.968,1.26
105.713,49.191,37.7,22.5,0.978,1.269
105.999,49.425,36.3,23.8,0.981,1.278
106.283,49.657,36.3,23.8,0.986,1.287
106.562,49.882,38.6,21.0,0.991,1.296
106.854,50.115,41.0,19.9,1.001,1.302
107.144,50.345,37.0,22.7,1.003,1.308
107.448,50.584,38.0,22.4,1.014,1.324
107.75,50.82,40.3,19.5,1.023,1.334
108.031,51.037,38.8,21.7,1.027,1.34
108.334,51.269,38.9,20.6,1.036,1.352
108.647,51.506,37.8,21.4,1.04,1.358
108.939,51.725,37.5,22.0,1.04,1.354
109.249,51.955,37.8,21.6,1.049,1.365
109.57,52.191,41.6,18.4,1.057,1.372
109.872,52.412,40.3,19.7,1.064,1.378
110.19,52.641,41.1,19.4,1.065,1.383
110.514,52.873,37.8,21.2,1.07,1.391
110.824,53.092,37.3,20.9,1.078,1.399
111.157,53.326,39.2,19.9,1.078,1.399
111.485,53.553,39.1,20.3,1.09,1.409
111.803,53.771,39.7,18.8,1.098,1.415
112.141,54.0,38.6,20.3,1.106,1.422
112.469,54.22,39.0,20.3,1.109,1.426
112.804,54.442,41.0,19.0,1.113,1.43
113.146,54.667,40.3,18.9,1.124,1.437
113.482,54.885,39.6,20.4,1.133,1.446
113.839,55.114,41.6,18.3,1.14,1.452
114.177,55.328,41.3,18.7,1.15,1.459
114.531,55.55,38.9,20.5,1.154,1.464
114.889,55.772,42.1,17.5,1.162,1.47
115.259,55.999,39.1,19.6,1.165,1.474
115.624,56.219,39.3,19.8,1.164,1.472
115.972,56.427,41.0,18.1,1.173,1.478
116.348,56.649,40.0,19.1,1.179,1.484
116.738,56.876,41.2,17.7,1.184,1.486
117.091,57.079,38.8,20.0,1.186,1.491
117.468,57.293,40.8,18.9,1.192,1.493
117.864,57.515,41.2,18.3,1.209,1.505
118.253,57.73,41.2,18.6,1.222,1.513
118.636,57.939,41.7,18.5,1.242,1.529
119.033,58.152,43.1,17.5,1.261,1.54
119.424,58.36,42.0,17.7,1.266,1.547
119.839,58.577,43.1,16.7,1.266,1.552
120.243,58.786,43.8,16.3,1.267,1.552
120.64,58.988,42.6,17.3,1.261,1.548
121.069,59.203,41.0,18.9,1.262,1.553
121.485,59.408,41.3,18.4,1.248,1.543
121.895,59.608,42.9,16.2,1.251,1.544
122.336,59.82,45.6,14.8,1.254,1.546
122.766,60.023,45.8,14.8,1.261,1.547
123.632,60.423,45.6,14.8,1.27,1.553
124.116,60.641,41.8,16.9,1.271,1.558
124.565,60.84,41.8,17.0,1.268,1.559
125.0,61.03,44.0,15.5,1.276,1.561
125.457,61.227,41.8,16.6,1.278,1.567
125.908,61.417,43.0,16.5,1.297,1.579
126.394,61.619,43.1,16.3,0.869,1.033
126.848,61.805,41.2,17.6,1.013,1.176
127.37,62.014,41.5,17.7,1.304,1.585
127.84,62.2,42.7,16.2,1.304,1.587
128.329,62.389,44.9,15.4,1.319,1.595
128.836,62.583,45.2,14.7,1.317,1.643
129.408,62.796,43.5,15.6,1.09,1.523
129.914,62.982,45.4,14.8,1.332,1.6
130.433,63.168,43.9,15.8,1.323,1.594
130.95,63.351,43.0,16.4,1.33,1.603
131.48,63.534,43.8,15.8,1.33,1.606
132.009,63.714,43.5,15.4,1.34,1.615
132.565,63.899,44.0,14.9,1.351,1.622
133.107,64.075,45.9,13.8,1.355,1.622
133.661,64.252,43.5,15.5,1.369,1.637
134.215,64.426,42.9,15.1,1.376,1.637
134.76,64.593,41.5,15.8,1.367,1.637
135.348,64.77,42.2,15.4,1.351,1.569
135.928,64.94,45.6,13.7,1.401,1.656
