azimuth,elevation,temperature,humidity,vPanel,vPyra
100.879,44.624,32.3,26.4,1.473,1.653
101.124,44.854,35.8,21.3,1.068,1.346
101.38,45.093,38.1,19.2,1.007,1.352
101.644,45.338,39.5,18.1,1.01,1.349
101.889,45.565,40.7,17.4,1.021,1.359
102.15,45.803,40.5,17.1,1.028,1.369
102.408,46.039,40.2,17.6,1.034,1.374
102.672,46.277,39.4,18.0,1.043,1.389
102.933,46.511,39.9,17.2,1.052,1.396
103.2,46.749,40.6,16.5,1.052,1.398
103.465,46.983,41.3,16.1,1.049,1.395
103.735,47.22,41.5,15.1,1.053,1.399
104.014,47.463,41.5,15.2,1.061,1.413
104.284,47.697,42.7,14.8,1.067,1.418
104.613,47.979,43.8,13.7,1.071,1.422
104.876,48.203,43.3,14.1,1.072,1.427
105.156,48.438,43.2,14.2,1.076,1.43
105.433,48.67,43.7,13.9,1.077,1.432
105.713,48.902,44.5,13.7,1.102,1.463
105.987,49.128,43.5,14.2,1.119,1.486
106.296,49.38,44.5,13.5,1.125,1.483
106.57,49.602,45.1,13.1,1.127,1.484
106.861,49.836,43.6,13.8,1.125,1.482
107.155,50.069,44.3,13.6,1.119,1.476
107.442,50.296,42.5,15.0,1.125,1.483
107.74,50.528,42.6,15.2,1.134,1.491
108.036,50.757,42.3,15.1,1.134,1.492
108.65,51.226,40.4,16.5,1.147,1.504
108.953,51.454,41.3,15.8,1.154,1.51
109.25,51.676,40.6,16.4,1.167,1.523
109.557,51.903,41.3,15.6,1.184,1.537
109.871,52.133,41.2,15.5,1.185,1.536
110.183,52.359,41.6,15.3,1.193,1.544
110.502,52.587,42.0,15.1,1.2,1.546
110.819,52.813,41.7,14.9,1.205,1.551
111.143,53.04,41.8,15.1,1.212,1.557
111.453,53.256,42.9,14.5,1.216,1.561
111.795,53.491,42.8,13.1,1.229,1.571
112.122,53.715,42.2,13.8,1.245,1.583
112.453,53.937,42.3,13.7,1.253,1.59
112.795,54.166,44.5,12.8,1.259,1.593
113.145,54.396,45.0,12.8,1.261,1.593
113.466,54.605,42.8,14.1,1.266,1.6
113.813,54.829,43.6,13.8,1.264,1.599
114.176,55.06,44.5,13.2,1.276,1.607
114.58,55.314,44.2,13.3,1.282,1.614
114.937,55.536,44.0,13.4,1.282,1.613
115.292,55.754,44.4,13.1,1.289,1.619
115.665,55.98,45.6,12.5,1.304,1.629
116.017,56.191,46.2,12.2,1.315,1.637
116.387,56.409,47.7,11.6,1.327,1.644
116.77,56.633,47.5,11.6,1.328,1.645
117.127,56.839,47.6,11.2,1.346,1.658
117.503,57.053,46.7,11.5,1.36,1.67
117.887,57.269,46.2,11.6,1.365,1.68
118.29,57.493,45.9,11.7,1.364,1.678
118.661,57.696,46.1,11.8,1.371,1.681
119.052,57.907,48.2,10.6,1.363,1.675
119.451,58.12,49.0,10.5,1.367,1.676
119.849,58.329,48.2,10.7,1.367,1.681
120.256,58.54,49.6,10.2,1.381,1.692
120.678,58.756,49.2,9.9,1.391,1.706
121.078,58.957,47.0,11.2,1.387,1.71
121.492,59.163,45.3,12.2,1.39,1.713
121.922,59.373,46.3,11.5,1.388,1.712
122.446,59.625,45.9,12.2,1.402,1.724
122.851,59.817,44.6,12.5,1.412,1.736
123.272,60.013,44.0,12.7,1.414,1.737
123.727,60.222,44.1,12.3,1.413,1.738
124.192,60.432,45.2,11.9,1.412,1.739
124.638,60.631,44.5,12.1,1.412,1.739
125.078,60.823,44.0,12.8,1.401,1.739
125.534,61.02,44.7,12.0,1.426,1.759
125.995,61.215,45.7,11.8,1.431,1.762
126.467,61.412,46.1,11.2,1.438,1.767
126.938,61.605,45.3,11.8,1.434,1.764
127.439,61.807,43.4,12.7,1.425,1.76
127.901,61.99,43.7,12.8,1.439,1.769
128.407,62.186,45.5,12.2,1.445,1.77
128.906,62.377,47.0,11.2,1.449,1.774
129.403,62.563,46.9,10.8,1.455,1.778
129.886,62.742,47.0,10.7,1.457,1.78
130.401,62.928,47.1,10.9,1.454,1.777
130.942,63.12,48.2,10.5,1.453,1.774
131.441,63.294,47.4,10.8,1.452,1.781
131.974,63.476,46.0,11.3,1.465,1.791
132.505,63.654,45.0,11.4,1.475,1.802
133.149,63.866,45.9,10.5,1.49,1.817
133.686,64.038,46.4,10.4,1.499,1.826
134.273,64.223,45.0,10.5,1.498,1.827
134.816,64.39,44.4,11.0,1.509,1.834
135.378,64.56,44.2,11.6,1.51,1.838
135.978,64.737,43.8,12.0,1.503,1.836
136.554,64.903,45.2,11.3,1.512,1.84
137.113,65.061,45.0,11.7,1.501,1.833
137.717,65.229,44.6,11.6,1.514,1.842
138.328,65.394,44.0,11.7,1.515,1.846
138.93,65.553,45.2,11.0,1.526,1.853
139.522,65.706,44.8,10.9,1.523,1.854
140.161,65.867,45.6,10.7,1.525,1.853
140.767,66.016,46.9,10.0,1.519,1.848
141.403,66.17,48.4,9.7,1.517,1.845
142.039,66.319,48.6,9.3,1.525,1.852
142.689,66.468,47.4,9.9,1.523,1.85
143.364,66.618,47.2,9.8,1.529,1.857
144.029,66.762,47.3,10.0,1.532,1.86
144.657,66.895,46.5,10.7,1.536,1.865
145.336,67.035,46.6,10.4,1.533,1.862
146.021,67.173,47.0,10.3,1.527,1.859
146.705,67.306,46.2,10.7,1.527,1.858
147.423,67.442,45.7,11.1,1.529,1.864
148.13,67.572,45.4,11.4,1.536,1.872
148.834,67.698,45.3,11.1,1.542,1.876
149.527,67.818,44.7,10.8,1.552,1.885
150.283,67.945,45.5,10.5,1.557,1.888
150.99,68.06,44.6,10.9,1.563,1.895
151.712,68.173,42.5,11.8,1.574,1.901
152.48,68.29,44.2,11.3,1.581,1.9
153.235,68.402,44.8,10.8,1.582,1.901
153.997,68.51,45.9,10.6,1.584,1.906
154.736,68.611,45.7,10.7,1.584,1.905
155.531,68.716,47.4,10.0,1.589,1.909
156.262,68.809,49.1,9.3,1.595,1.915
157.05,68.906,48.1,9.8,1.612,1.94
157.834,68.998,47.5,10.1,1.366,1.517
158.675,69.093,48.0,10.0,1.632,1.967
159.429,69.175,49.0,9.4,1.603,1.942
160.252,69.26,47.2,10.3,1.583,1.926
161.08,69.341,47.3,10.4,1.58,1.919
161.893,69.418,48.5,9.7,1.587,1.925
162.721,69.492,49.2,9.3,1.593,1.93
163.512,69.559,49.0,9.5,1.576,1.918
164.351,69.626,48.8,9.6,1.576,1.921
165.183,69.689,49.7,9.1,1.592,1.927
166.031,69.75,51.3,8.9,1.58,1.918
166.872,69.806,51.3,8.3,1.588,1.926
167.729,69.86,51.0,8.3,1.585,1.924
168.578,69.909,52.2,7.8,1.588,1.926
169.442,69.955,49.7,8.6,1.606,1.934
170.298,69.997,50.3,8.3,1.581,1.929
171.158,70.036,49.8,8.4,1.585,1.932
172.065,70.073,50.6,8.0,1.584,1.934
172.93,70.104,51.9,7.0,1.585,1.932
173.763,70.131,52.3,7.2,1.583,1.93
174.643,70.155,51.1,8.3,1.582,1.928
175.56,70.177,49.8,9.1,1.571,1.925
176.433,70.194,50.4,9.0,1.567,1.918
177.272,70.206,52.8,8.2,1.567,1.919
178.158,70.216,53.4,8.1,1.564,1.912
179.033,70.221,53.1,7.9,1.571,1.924
179.92,70.223,51.3,8.8,1.576,1.931
180.795,70.222,50.6,8.5,1.57,1.93
181.67,70.216,49.0,7.9,1.568,1.932
182.591,70.207,49.5,8.1,1.583,1.945
183.43,70.195,49.2,8.4,1.576,1.94
184.302,70.178,49.0,8.6,1.567,1.934
185.219,70.157,49.5,8.5,1.567,1.935
186.1,70.133,51.6,8.0,1.565,1.939
186.933,70.106,50.7,8.0,1.572,1.95
187.809,70.075,48.0,7.9,1.598,1.974
188.672,70.04,46.2,8.7,1.078,1.265
189.497,70.003,44.8,9.7,1.458,1.705
190.399,69.959,45.2,9.6,1.486,1.713
191.252,69.914,46.4,9.0,1.44,1.796
192.136,69.863,47.5,8.7,1.67,2.047
192.97,69.811,48.2,7.8,1.618,1.995
193.801,69.756,50.1,6.9,1.61,1.982
194.649,69.696,52.1,6.3,1.608,1.986
195.482,69.633,50.5,6.7,1.608,1.985
196.322,69.566,51.7,6.6,1.592,1.971
197.112,69.499,51.8,6.9,1.581,1.968
197.974,69.423,52.9,6.5,1.563,1.955
198.787,69.347,51.6,7.1,1.555,1.953
199.573,69.27,51.0,6.8,1.538,1.941
200.407,69.184,52.2,6.7,1.54,1.943
201.245,69.093,51.9,6.9,1.533,1.94
202.004,69.008,51.2,7.0,1.53,1.938
202.799,68.915,53.2,6.4,1.527,1.933
203.577,68.82,53.8,6.5,1.531,1.936
204.379,68.718,51.4,6.9,1.522,1.933
205.125,68.62,50.0,7.6,1.518,1.934
205.884,68.516,49.6,7.6,1.507,1.928
206.646,68.408,48.3,8.3,1.502,1.922
207.422,68.294,49.5,8.1,1.498,1.923
208.142,68.184,48.8,7.9,1.495,1.921
208.874,68.069,50.9,7.4,1.495,1.923
209.6,67.951,52.0,6.7,1.492,1.919
210.328,67.829,50.6,6.9,1.494,1.925
211.068,67.701,47.6,7.8,1.484,1.921
211.755,67.579,48.9,7.3,1.478,1.915
212.453,67.451,50.3,7.0,1.473,1.911
213.117,67.325,52.0,6.6,1.474,1.912
213.811,67.19,49.2,7.5,1.47,1.912
214.524,67.048,50.2,6.7,1.468,1.914
215.186,66.912,50.3,6.8,1.459,1.908
215.858,66.77,51.8,6.4,1.458,1.903
216.524,66.626,53.3,5.9,1.455,1.903
217.173,66.481,52.0,6.7,1.452,1.901
217.825,66.332,51.7,6.4,1.451,1.902
218.461,66.183,51.1,6.4,1.436,1.895
219.098,66.031,49.6,7.4,1.432,1.896
219.72,65.877,48.5,7.9,1.427,1.892
220.36,65.716,47.1,8.3,1.419,1.887
220.953,65.563,49.0,7.6,1.413,1.881
221.555,65.404,50.0,7.2,1.403,1.877
222.159,65.241,47.9,7.9,1.405,1.883
222.771,65.072,46.3,8.4,1.388,1.878
223.338,64.912,46.2,8.8,1.379,1.871
223.915,64.746,46.9,8.5,1.378,1.868
224.462,64.584,47.6,8.3,1.369,1.859
225.056,64.405,48.4,8.0,1.365,1.857
225.62,64.232,47.8,8.4,1.365,1.861
226.164,64.061,49.9,7.6,1.356,1.852
226.717,63.884,48.8,8.0,1.346,1.847
227.256,63.708,48.4,8.1,1.354,1.857
227.817,63.52,47.7,7.9,1.352,1.858
228.323,63.348,48.9,7.6,1.347,1.853
228.852,63.165,49.8,7.4,1.338,1.848
229.367,62.983,49.9,7.2,1.326,1.838
229.884,62.797,51.1,7.0,1.318,1.834
230.395,62.609,53.0,6.4,1.323,1.839
230.913,62.416,53.4,6.3,1.311,1.835
231.387,62.235,52.0,6.4,1.303,1.83
231.882,62.044,52.0,6.5,1.291,1.821
232.365,61.853,51.6,6.8,1.282,1.811
232.861,61.654,49.5,7.7,1.27,1.808
233.321,61.467,50.8,7.6,1.257,1.801
233.77,61.281,51.3,7.1,1.25,1.795
234.257,61.075,49.8,7.4,1.249,1.797
234.714,60.879,49.1,7.7,1.247,1.798
235.638,60.473,47.1,8.0,1.235,1.794
236.087,60.271,47.1,8.1,1.225,1.786
236.508,60.078,48.3,7.3,1.229,1.795
236.942,59.877,48.8,7.3,1.249,1.83
