created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2017-07-27 08:42:39 UTC,1,28.0,34.9,0.919,1.186,3.765,0.491,1.700
2017-07-27 08:42:54 UTC,2,28.8,33.7,0.920,1.186,3.768,0.490,1.695
2017-07-27 08:43:56 UTC,3,31.7,28.1,0.930,1.193,3.778,0.490,1.694
2017-07-27 08:44:59 UTC,4,33.6,24.9,0.937,1.198,3.783,0.490,1.694
2017-07-27 08:46:02 UTC,5,35.7,23.4,0.944,1.203,3.789,0.490,1.694
2017-07-27 08:47:05 UTC,6,37.2,21.5,0.950,1.207,3.795,0.490,1.694
2017-07-27 08:48:08 UTC,7,38.5,20.9,0.957,1.213,3.798,0.490,1.694
2017-07-27 08:49:10 UTC,8,39.5,19.4,0.963,1.217,3.801,0.490,1.694
2017-07-27 08:50:13 UTC,9,40.3,18.4,0.969,1.219,3.804,0.490,1.694
2017-07-27 08:51:16 UTC,10,41.0,18.3,0.976,1.225,3.808,0.490,1.694
2017-07-27 08:52:18 UTC,11,41.2,17.8,0.984,1.231,3.812,0.489,1.694
2017-07-27 08:53:22 UTC,12,41.3,17.8,0.989,1.237,3.814,0.490,1.694
2017-07-27 08:54:25 UTC,13,41.5,17.1,0.998,1.242,3.816,0.489,1.693
2017-07-27 08:55:27 UTC,14,42.0,16.9,1.002,1.248,3.818,0.489,1.693
2017-07-27 08:56:29 UTC,15,42.8,16.6,1.007,1.252,3.821,0.490,1.693
2017-07-27 08:57:33 UTC,16,42.9,16.4,1.007,1.254,3.822,0.489,1.693
2017-07-27 08:58:35 UTC,17,43.0,16.4,1.009,1.258,3.825,0.489,1.693
2017-07-27 08:59:38 UTC,18,43.4,16.1,1.014,1.263,3.827,0.489,1.693
2017-07-27 09:00:41 UTC,19,43.6,16.0,1.020,1.267,3.830,0.489,1.694
2017-07-27 09:01:44 UTC,20,43.8,15.7,1.028,1.277,3.833,0.490,1.694
2017-07-27 09:02:46 UTC,21,44.2,15.6,1.031,1.282,3.835,0.489,1.694
2017-07-27 09:03:48 UTC,22,44.3,15.6,1.036,1.289,3.839,0.489,1.693
2017-07-27 09:04:51 UTC,23,43.6,16.0,1.039,1.293,3.841,0.489,1.693
2017-07-27 09:05:55 UTC,24,43.6,16.1,1.043,1.299,3.843,0.489,1.693
2017-07-27 09:06:58 UTC,25,44.0,15.5,1.048,1.303,3.845,0.489,1.693
2017-07-27 09:08:00 UTC,26,44.1,15.6,1.054,1.310,3.846,0.489,1.693
2017-07-27 09:09:03 UTC,27,44.2,15.5,1.062,1.315,3.849,0.490,1.693
2017-07-27 09:10:07 UTC,28,44.6,15.4,1.068,1.319,3.851,0.489,1.694
2017-07-27 09:11:11 UTC,29,44.9,15.1,1.072,1.325,3.854,0.489,1.693
2017-07-27 09:12:14 UTC,30,45.3,14.8,1.078,1.328,3.857,0.489,1.693
2017-07-27 09:13:15 UTC,31,45.7,14.7,1.083,1.333,3.859,0.489,1.693
2017-07-27 09:14:18 UTC,32,44.9,15.0,1.095,1.340,3.862,0.489,1.693
2017-07-27 09:15:21 UTC,33,44.0,15.6,1.104,1.348,3.866,0.489,1.693
2017-07-27 09:16:23 UTC,34,44.5,15.3,1.112,1.353,3.868,0.489,1.694
2017-07-27 09:17:25 UTC,35,44.9,15.1,1.122,1.357,3.870,0.489,1.694
2017-07-27 09:18:28 UTC,36,45.5,14.4,1.127,1.361,3.873,0.490,1.695
2017-07-27 09:19:31 UTC,37,45.7,14.4,1.135,1.366,3.876,0.489,1.694
2017-07-27 09:20:34 UTC,38,46.0,14.4,1.150,1.375,3.880,0.489,1.694
