created_at,entry_id,field1,field2,field3,field4,field5
2017-07-19 09:07:36 UTC,1,32.3,26.4,1.473,1.653,5.112
2017-07-19 09:08:50 UTC,2,35.8,21.3,1.068,1.346,5.107
2017-07-19 09:10:07 UTC,3,38.1,19.2,1.007,1.352,5.039
2017-07-19 09:11:26 UTC,4,39.5,18.1,1.010,1.349,4.506
2017-07-19 09:12:39 UTC,5,40.7,17.4,1.021,1.359,4.267
2017-07-19 09:13:56 UTC,6,40.5,17.1,1.028,1.369,4.176
2017-07-19 09:15:12 UTC,7,40.2,17.6,1.034,1.374,4.156
2017-07-19 09:16:29 UTC,8,39.4,18.0,1.043,1.389,4.156
2017-07-19 09:17:45 UTC,9,39.9,17.2,1.052,1.396,4.118
2017-07-19 09:19:02 UTC,10,40.6,16.5,1.052,1.398,4.118
2017-07-19 09:20:18 UTC,11,41.3,16.1,1.049,1.395,4.126
2017-07-19 09:21:35 UTC,12,41.5,15.1,1.053,1.399,4.121
2017-07-19 09:22:54 UTC,13,41.5,15.2,1.061,1.413,4.106
2017-07-19 09:24:10 UTC,14,42.7,14.8,1.067,1.418,4.097
2017-07-19 09:25:42 UTC,15,43.8,13.7,1.071,1.422,4.094
2017-07-19 09:26:55 UTC,16,43.3,14.1,1.072,1.427,4.083
2017-07-19 09:28:12 UTC,17,43.2,14.2,1.076,1.430,4.070
2017-07-19 09:29:28 UTC,18,43.7,13.9,1.077,1.432,4.068
2017-07-19 09:30:44 UTC,19,44.5,13.7,1.102,1.463,4.055
2017-07-19 09:31:58 UTC,20,43.5,14.2,1.119,1.486,4.044
2017-07-19 09:33:21 UTC,21,44.5,13.5,1.125,1.483,4.063
2017-07-19 09:34:34 UTC,22,45.1,13.1,1.127,1.484,4.071
2017-07-19 09:35:51 UTC,23,43.6,13.8,1.125,1.482,4.087
2017-07-19 09:37:08 UTC,24,44.3,13.6,1.119,1.476,4.053
2017-07-19 09:38:23 UTC,25,42.5,15.0,1.125,1.483,4.063
2017-07-19 09:39:40 UTC,26,42.6,15.2,1.134,1.491,4.076
2017-07-19 09:40:56 UTC,27,42.3,15.1,1.134,1.492,4.075
2017-07-19 09:43:32 UTC,28,40.4,16.5,1.147,1.504,4.089
2017-07-19 09:44:48 UTC,29,41.3,15.8,1.154,1.510,4.090
2017-07-19 09:46:02 UTC,30,40.6,16.4,1.167,1.523,4.077
2017-07-19 09:47:18 UTC,31,41.3,15.6,1.184,1.537,4.062
2017-07-19 09:48:35 UTC,32,41.2,15.5,1.185,1.536,4.068
2017-07-19 09:49:51 UTC,33,41.6,15.3,1.193,1.544,4.058
2017-07-19 09:51:08 UTC,34,42.0,15.1,1.200,1.546,4.052
2017-07-19 09:52:24 UTC,35,41.7,14.9,1.205,1.551,4.037
2017-07-19 09:53:41 UTC,36,41.8,15.1,1.212,1.557,4.050
2017-07-19 09:54:54 UTC,37,42.9,14.5,1.216,1.561,4.072
2017-07-19 09:56:14 UTC,38,42.8,13.1,1.229,1.571,4.053
2017-07-19 09:57:30 UTC,39,42.2,13.8,1.245,1.583,4.052
2017-07-19 09:58:46 UTC,40,42.3,13.7,1.253,1.590,4.034
2017-07-19 10:00:04 UTC,41,44.5,12.8,1.259,1.593,4.051
2017-07-19 10:01:23 UTC,42,45.0,12.8,1.261,1.593,4.043
2017-07-19 10:02:35 UTC,43,42.8,14.1,1.266,1.600,4.032
2017-07-19 10:03:52 UTC,44,43.6,13.8,1.264,1.599,4.040
2017-07-19 10:05:12 UTC,45,44.5,13.2,1.276,1.607,4.041
2017-07-19 10:06:40 UTC,46,44.2,13.3,1.282,1.614,4.029
2017-07-19 10:07:57 UTC,47,44.0,13.4,1.282,1.613,4.004
2017-07-19 10:09:13 UTC,48,44.4,13.1,1.289,1.619,4.033
2017-07-19 10:10:32 UTC,49,45.6,12.5,1.304,1.629,4.015
2017-07-19 10:11:46 UTC,50,46.2,12.2,1.315,1.637,4.018
2017-07-19 10:13:03 UTC,51,47.7,11.6,1.327,1.644,4.006
2017-07-19 10:14:22 UTC,52,47.5,11.6,1.328,1.645,4.004
2017-07-19 10:15:35 UTC,53,47.6,11.2,1.346,1.658,4.008
2017-07-19 10:16:51 UTC,54,46.7,11.5,1.360,1.670,3.986
2017-07-19 10:18:08 UTC,55,46.2,11.6,1.365,1.680,3.993
2017-07-19 10:19:28 UTC,56,45.9,11.7,1.364,1.678,3.986
2017-07-19 10:20:41 UTC,57,46.1,11.8,1.371,1.681,3.989
2017-07-19 10:21:57 UTC,58,48.2,10.6,1.363,1.675,3.985
2017-07-19 10:23:14 UTC,59,49.0,10.5,1.367,1.676,3.992
2017-07-19 10:24:30 UTC,60,48.2,10.7,1.367,1.681,3.978
2017-07-19 10:25:47 UTC,61,49.6,10.2,1.381,1.692,3.984
2017-07-19 10:27:06 UTC,62,49.2,9.9,1.391,1.706,3.987
2017-07-19 10:28:20 UTC,63,47.0,11.2,1.387,1.710,3.999
2017-07-19 10:29:36 UTC,64,45.3,12.2,1.390,1.713,3.968
2017-07-19 10:30:54 UTC,65,46.3,11.5,1.388,1.712,3.978
2017-07-19 10:32:28 UTC,66,45.9,12.2,1.402,1.724,3.980
2017-07-19 10:33:40 UTC,67,44.6,12.5,1.412,1.736,3.982
2017-07-19 10:34:54 UTC,68,44.0,12.7,1.414,1.737,3.990
2017-07-19 10:36:13 UTC,69,44.1,12.3,1.413,1.738,3.979
2017-07-19 10:37:33 UTC,70,45.2,11.9,1.412,1.739,3.986
2017-07-19 10:38:49 UTC,71,44.5,12.1,1.412,1.739,3.981
2017-07-19 10:40:03 UTC,72,44.0,12.8,1.401,1.739,3.965
2017-07-19 10:41:19 UTC,73,44.7,12.0,1.426,1.759,3.982
2017-07-19 10:42:35 UTC,74,45.7,11.8,1.431,1.762,3.990
2017-07-19 10:43:52 UTC,75,46.1,11.2,1.438,1.767,3.982
2017-07-19 10:45:08 UTC,76,45.3,11.8,1.434,1.764,3.988
2017-07-19 10:46:28 UTC,77,43.4,12.7,1.425,1.760,3.971
2017-07-19 10:47:41 UTC,78,43.7,12.8,1.439,1.769,3.986
2017-07-19 10:49:00 UTC,79,45.5,12.2,1.445,1.770,3.975
2017-07-19 10:50:17 UTC,80,47.0,11.2,1.449,1.774,3.983
2017-07-19 10:51:33 UTC,81,46.9,10.8,1.455,1.778,3.977
2017-07-19 10:52:46 UTC,82,47.0,10.7,1.457,1.780,3.979
2017-07-19 10:54:03 UTC,83,47.1,10.9,1.454,1.777,3.982
2017-07-19 10:55:23 UTC,84,48.2,10.5,1.453,1.774,3.975
2017-07-19 10:56:36 UTC,85,47.4,10.8,1.452,1.781,3.984
2017-07-19 10:57:53 UTC,86,46.0,11.3,1.465,1.791,3.967
2017-07-19 10:59:09 UTC,87,45.0,11.4,1.475,1.802,3.976
2017-07-19 11:00:40 UTC,88,45.9,10.5,1.490,1.817,3.974
2017-07-19 11:01:55 UTC,89,46.4,10.4,1.499,1.826,3.974
2017-07-19 11:03:16 UTC,90,45.0,10.5,1.498,1.827,3.962
2017-07-19 11:04:30 UTC,91,44.4,11.0,1.509,1.834,3.967
2017-07-19 11:05:46 UTC,92,44.2,11.6,1.510,1.838,3.956
2017-07-19 11:07:06 UTC,93,43.8,12.0,1.503,1.836,3.975
2017-07-19 11:08:22 UTC,94,45.2,11.3,1.512,1.840,3.958
2017-07-19 11:09:35 UTC,95,45.0,11.7,1.501,1.833,3.971
2017-07-19 11:10:53 UTC,96,44.6,11.6,1.514,1.842,3.965
