created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2017-07-21 09:38:49 UTC,1,32.4,23.0,1.608,1.489,3.961,0.490,1.695
2017-07-21 09:39:49 UTC,2,35.5,19.4,1.655,1.497,3.966,0.490,1.694
2017-07-21 09:40:52 UTC,3,38.3,16.9,1.646,1.497,3.969,0.490,1.694
2017-07-21 09:41:55 UTC,4,40.9,15.4,1.692,1.503,3.975,0.490,1.694
2017-07-21 09:42:58 UTC,5,41.8,14.4,1.908,1.506,3.977,0.490,1.694
2017-07-21 09:44:01 UTC,6,43.4,13.7,1.678,1.513,3.989,0.490,1.693
2017-07-21 09:45:03 UTC,7,44.7,13.0,1.578,1.525,3.990,0.489,1.694
2017-07-21 09:46:06 UTC,8,46.1,12.1,1.503,1.522,3.991,0.489,1.694
2017-07-21 09:47:10 UTC,9,46.8,11.7,1.528,1.519,3.990,0.489,1.694
2017-07-21 09:48:12 UTC,10,47.0,11.4,1.482,1.529,3.999,0.490,1.693
2017-07-21 09:49:15 UTC,11,46.8,11.3,1.485,1.552,3.996,0.490,1.694
2017-07-21 09:50:17 UTC,12,47.0,11.2,1.491,1.558,4.008,0.489,1.694
2017-07-21 09:51:20 UTC,13,46.1,11.2,1.482,1.559,4.011,0.490,1.693
2017-07-21 09:52:23 UTC,14,46.9,11.1,1.490,1.564,4.013,0.489,1.694
2017-07-21 09:53:26 UTC,15,47.3,11.0,1.488,1.567,4.014,0.489,1.693
2017-07-21 09:54:29 UTC,16,46.9,10.9,1.481,1.566,4.019,0.489,1.693
2017-07-21 09:55:32 UTC,17,46.3,11.0,1.482,1.572,4.022,0.489,1.694
2017-07-21 09:56:34 UTC,18,45.7,11.2,1.474,1.578,4.009,0.489,1.693
2017-07-21 09:57:37 UTC,19,44.2,12.0,1.474,1.582,4.024,0.489,1.694
2017-07-21 09:58:40 UTC,20,43.4,12.4,1.475,1.584,4.030,0.490,1.694
2017-07-21 09:59:43 UTC,21,43.7,12.1,1.485,1.594,4.027,0.490,1.693
2017-07-21 10:00:45 UTC,22,44.0,12.3,1.491,1.600,4.034,0.490,1.694
2017-07-21 10:01:48 UTC,23,44.8,11.9,1.496,1.603,4.030,0.490,1.694
2017-07-21 10:02:51 UTC,24,45.1,11.7,1.495,1.602,4.033,0.490,1.694
2017-07-21 10:03:54 UTC,25,44.3,12.0,1.492,1.605,4.040,0.490,1.694
2017-07-21 10:04:57 UTC,26,44.7,11.7,1.508,1.618,4.047,0.490,1.693
2017-07-21 10:05:59 UTC,27,46.1,11.0,1.524,1.631,4.046,0.490,1.694
2017-07-21 10:07:02 UTC,28,46.1,11.0,1.527,1.634,4.045,0.490,1.693
2017-07-21 10:08:05 UTC,29,44.4,11.5,1.526,1.634,4.046,0.490,1.694
2017-07-21 10:09:08 UTC,30,44.2,11.3,1.532,1.638,4.047,0.489,1.693
2017-07-21 10:10:11 UTC,31,44.8,11.2,1.534,1.640,4.046,0.489,1.693
2017-07-21 10:11:13 UTC,32,45.7,10.9,1.541,1.645,4.045,0.489,1.693
2017-07-21 10:12:16 UTC,33,45.2,11.0,1.552,1.654,4.047,0.490,1.694
