created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2017-08-07 08:28:07 UTC,1,37.2,28.1,0.782,1.073,3.892,0.492,1.700
2017-08-07 08:28:26 UTC,2,37.4,27.7,0.783,1.072,3.892,0.492,1.700
2017-08-07 08:29:29 UTC,3,38.4,26.2,0.794,1.085,3.896,0.492,1.700
2017-08-07 08:30:32 UTC,4,39.7,24.5,0.795,1.085,3.899,0.492,1.700
2017-08-07 08:31:35 UTC,5,40.9,23.0,0.799,1.088,3.900,0.491,1.699
2017-08-07 08:32:38 UTC,6,41.6,22.2,0.807,1.098,3.903,0.492,1.700
2017-08-07 08:33:41 UTC,7,41.5,22.3,0.816,1.109,3.907,0.492,1.699
2017-08-07 08:34:43 UTC,8,42.2,21.3,0.821,1.113,3.909,0.492,1.699
2017-08-07 08:35:45 UTC,9,42.9,20.7,0.821,1.111,3.911,0.492,1.699
2017-08-07 08:36:47 UTC,10,43.6,20.0,0.831,1.123,3.914,0.492,1.699
2017-08-07 08:37:48 UTC,11,44.1,19.6,0.835,1.127,3.916,0.492,1.700
2017-08-07 08:38:51 UTC,12,43.5,20.1,0.844,1.136,3.920,0.492,1.699
2017-08-07 08:39:54 UTC,13,44.0,19.8,0.856,1.149,3.923,0.492,1.699
2017-08-07 08:40:57 UTC,14,44.7,19.3,0.860,1.154,3.926,0.492,1.699
2017-08-07 08:42:00 UTC,15,44.3,19.3,0.865,1.161,3.928,0.492,1.699
2017-08-07 08:43:03 UTC,16,44.2,19.4,0.873,1.164,3.932,0.492,1.700
2017-08-07 08:44:06 UTC,17,44.5,19.0,0.882,1.176,3.934,0.492,1.699
2017-08-07 08:45:09 UTC,18,45.1,18.6,0.888,1.181,3.937,0.491,1.699
2017-08-07 08:46:11 UTC,19,45.4,18.3,0.902,1.195,3.940,0.492,1.699
2017-08-07 08:47:14 UTC,20,46.1,17.8,0.903,1.194,3.942,0.492,1.700
2017-08-07 08:48:17 UTC,21,45.1,17.6,0.913,1.210,3.946,0.492,1.699
2017-08-07 08:49:20 UTC,22,45.0,17.7,0.914,1.211,3.948,0.492,1.700
2017-08-07 08:50:23 UTC,23,46.0,17.2,0.920,1.215,3.950,0.491,1.699
2017-08-07 08:51:25 UTC,24,46.5,16.5,0.929,1.227,3.953,0.492,1.699
2017-08-07 08:52:27 UTC,25,47.1,16.0,0.934,1.233,3.955,0.492,1.699
2017-08-07 08:53:29 UTC,26,47.0,16.0,0.937,1.238,3.958,0.492,1.700
2017-08-07 08:54:31 UTC,27,47.4,15.8,0.937,1.236,3.960,0.492,1.700
2017-08-07 08:55:32 UTC,28,48.3,15.2,0.944,1.240,3.962,0.492,1.700
2017-08-07 08:56:35 UTC,29,48.6,15.0,0.957,1.259,3.969,0.492,1.702
2017-08-07 08:57:38 UTC,30,48.4,14.9,0.963,1.265,3.970,0.492,1.701
2017-08-07 08:58:41 UTC,31,48.2,15.3,0.972,1.276,3.973,0.492,1.700
2017-08-07 08:59:44 UTC,32,48.7,14.9,0.974,1.275,3.976,0.492,1.700
2017-08-07 09:00:47 UTC,33,47.7,15.4,0.978,1.284,3.980,0.492,1.700
2017-08-07 09:01:50 UTC,34,47.5,15.3,0.982,1.286,3.984,0.492,1.700
2017-08-07 09:02:53 UTC,35,47.4,14.6,0.981,1.286,3.986,0.492,1.699
2017-08-07 09:03:56 UTC,36,46.8,14.6,0.990,1.298,3.990,0.492,1.699
2017-08-07 09:04:59 UTC,37,46.9,14.2,0.995,1.303,3.993,0.491,1.699
2017-08-07 09:06:01 UTC,38,47.1,14.8,1.001,1.309,3.997,0.492,1.699
2017-08-07 09:07:04 UTC,39,47.7,14.2,1.015,1.325,4.001,0.492,1.699
2017-08-07 09:08:06 UTC,40,48.1,13.9,1.010,1.319,4.003,0.491,1.699
2017-08-07 09:09:08 UTC,41,48.4,13.0,1.022,1.333,4.007,0.491,1.698
2017-08-07 09:10:11 UTC,42,47.6,13.2,1.023,1.333,4.011,0.491,1.699
2017-08-07 09:11:13 UTC,43,47.5,13.3,1.024,1.334,4.015,0.491,1.699
2017-08-07 09:12:16 UTC,44,48.6,13.0,1.031,1.339,4.019,0.491,1.700
2017-08-07 09:13:19 UTC,45,48.0,12.5,1.039,1.346,4.022,0.492,1.699
2017-08-07 09:14:21 UTC,46,48.2,11.7,1.042,1.349,4.024,0.491,1.699
2017-08-07 09:15:24 UTC,47,46.7,12.1,1.043,1.351,4.009,0.492,1.699
2017-08-07 09:16:27 UTC,48,45.4,11.9,1.056,1.365,4.033,0.492,1.699
2017-08-07 09:17:30 UTC,49,44.8,12.9,1.058,1.367,4.035,0.492,1.699
2017-08-07 09:18:33 UTC,50,44.2,13.1,1.065,1.374,4.038,0.492,1.699
2017-08-07 09:19:36 UTC,51,44.9,12.9,1.090,1.395,4.042,0.492,1.699
2017-08-07 09:20:39 UTC,52,46.4,12.0,1.111,1.410,4.045,0.492,1.699
2017-08-07 09:21:42 UTC,53,47.1,11.1,1.121,1.416,4.048,0.492,1.699
2017-08-07 09:22:45 UTC,54,47.9,9.5,1.128,1.422,4.050,0.491,1.699
2017-08-07 09:23:46 UTC,55,48.3,9.6,1.131,1.421,4.052,0.491,1.699
2017-08-07 09:24:53 UTC,56,49.4,9.2,1.155,1.445,4.037,0.491,1.699
2017-08-07 09:25:50 UTC,57,49.4,7.2,1.161,1.445,4.057,0.491,1.699
2017-08-07 09:26:52 UTC,58,50.0,8.6,1.171,1.452,4.060,0.491,1.699
2017-08-07 09:27:54 UTC,59,49.8,7.3,1.184,1.462,4.064,0.492,1.699
2017-08-07 09:28:57 UTC,60,48.4,6.1,1.193,1.469,4.064,0.491,1.699
2017-08-07 09:30:00 UTC,61,45.5,7.3,1.194,1.476,4.062,0.492,1.699
2017-08-07 09:31:03 UTC,62,45.5,7.2,1.207,1.485,4.063,0.492,1.700
2017-08-07 09:32:10 UTC,63,44.6,7.7,1.208,1.485,4.063,0.491,1.700
2017-08-07 09:33:08 UTC,64,43.8,7.9,1.209,1.487,4.063,0.492,1.700
2017-08-07 09:34:11 UTC,65,43.3,7.8,1.211,1.488,4.062,0.492,1.699
2017-08-07 09:35:14 UTC,66,43.6,8.0,1.216,1.490,4.061,0.492,1.699
2017-08-07 09:36:17 UTC,67,46.3,7.1,1.232,1.500,4.061,0.492,1.700
2017-08-07 09:37:20 UTC,68,48.2,6.1,1.230,1.500,4.045,0.491,1.699
2017-08-07 09:38:23 UTC,69,47.3,6.5,1.248,1.514,4.061,0.492,1.699
2017-08-07 09:39:26 UTC,70,46.0,6.7,1.261,1.525,4.060,0.492,1.699
2017-08-07 09:40:28 UTC,71,45.8,6.9,1.268,1.531,4.060,0.492,1.699
2017-08-07 09:41:30 UTC,72,45.5,7.0,1.269,1.533,4.060,0.492,1.699
2017-08-07 09:42:31 UTC,73,45.7,6.9,1.278,1.538,4.060,0.492,1.700
2017-08-07 09:43:33 UTC,74,46.3,6.9,1.287,1.543,4.060,0.492,1.699
2017-08-07 09:44:35 UTC,75,46.8,6.7,1.273,1.534,4.060,0.492,1.699
2017-08-07 09:45:38 UTC,76,47.5,6.4,1.298,1.551,4.061,0.492,1.700
2017-08-07 09:46:41 UTC,77,47.8,6.2,1.291,1.543,4.060,0.491,1.699
2017-08-07 09:47:44 UTC,78,47.8,6.4,1.297,1.549,4.060,0.492,1.699
2017-08-07 09:48:47 UTC,79,48.3,6.0,1.302,1.552,4.060,0.492,1.699
2017-08-07 09:49:50 UTC,80,48.8,5.8,1.311,1.559,4.060,0.492,1.699
2017-08-07 09:50:53 UTC,81,47.9,5.6,1.321,1.570,4.059,0.492,1.699
2017-08-07 09:51:55 UTC,82,48.2,5.9,1.328,1.572,4.060,0.492,1.700
2017-08-07 09:52:58 UTC,83,49.0,5.5,1.327,1.574,4.059,0.492,1.700
2017-08-07 09:54:01 UTC,84,48.6,5.7,1.331,1.577,4.059,0.492,1.699
2017-08-07 09:55:04 UTC,85,50.0,5.4,1.346,1.586,4.058,0.492,1.699
2017-08-07 09:56:07 UTC,86,51.4,5.2,1.360,1.591,4.057,0.492,1.699
2017-08-07 09:57:10 UTC,87,52.7,4.9,1.366,1.594,4.057,0.492,1.699
2017-08-07 09:58:12 UTC,88,54.0,4.5,1.368,1.595,4.057,0.491,1.699
2017-08-07 09:59:14 UTC,89,54.6,4.4,1.375,1.601,4.057,0.491,1.699
2017-08-07 10:00:16 UTC,90,53.5,4.6,1.383,1.610,4.058,0.491,1.699
2017-08-07 10:01:19 UTC,91,51.6,5.1,1.390,1.618,4.058,0.491,1.699
2017-08-07 10:02:21 UTC,92,50.0,5.4,1.393,1.622,4.056,0.491,1.699
2017-08-07 10:03:24 UTC,93,51.0,5.4,1.404,1.629,4.056,0.491,1.699
2017-08-07 10:04:42 UTC,94,52.0,5.2,1.409,1.633,4.056,0.491,1.699
2017-08-07 10:05:30 UTC,95,52.2,5.2,1.419,1.640,4.056,0.491,1.699
2017-08-07 10:06:33 UTC,96,53.5,4.8,1.424,1.641,4.056,0.491,1.699
2017-08-07 10:07:36 UTC,97,54.6,4.4,1.433,1.648,4.055,0.491,1.699
2017-08-07 10:08:39 UTC,98,55.6,4.1,1.432,1.642,4.054,0.491,1.699
2017-08-07 10:09:42 UTC,99,56.4,3.9,1.443,1.649,4.055,0.491,1.699
2017-08-07 10:10:45 UTC,100,57.5,3.6,1.451,1.654,4.054,0.491,1.699
2017-08-07 10:11:47 UTC,101,57.6,3.9,1.453,1.656,4.054,0.491,1.699
2017-08-07 10:12:50 UTC,102,57.3,3.9,1.455,1.661,4.054,0.491,1.699
2017-08-07 10:13:53 UTC,103,54.8,4.1,1.455,1.665,4.053,0.491,1.698
2017-08-07 10:14:56 UTC,104,53.1,4.4,1.459,1.670,4.054,0.491,1.699
2017-08-07 10:15:59 UTC,105,53.1,4.6,1.464,1.672,4.054,0.491,1.699
2017-08-07 10:17:02 UTC,106,53.5,4.4,1.472,1.678,4.055,0.492,1.699
2017-08-07 10:18:05 UTC,107,52.6,4.7,1.494,1.703,4.055,0.491,1.699
2017-08-07 10:19:07 UTC,108,52.1,4.9,1.489,1.697,4.055,0.491,1.699
2017-08-07 10:20:08 UTC,109,50.8,5.1,1.490,1.701,4.056,0.491,1.699
2017-08-07 10:21:10 UTC,110,51.2,5.0,1.488,1.696,4.055,0.492,1.699
2017-08-07 10:22:12 UTC,111,53.0,4.0,1.508,1.714,4.053,0.491,1.699
2017-08-07 10:23:14 UTC,112,54.7,3.5,1.507,1.710,4.053,0.491,1.699
2017-08-07 10:24:17 UTC,113,56.2,3.4,1.505,1.705,4.053,0.491,1.699
2017-08-07 10:25:20 UTC,114,56.9,3.3,1.514,1.713,4.053,0.491,1.699
2017-08-07 10:26:23 UTC,115,56.0,3.6,1.522,1.720,4.054,0.491,1.699
