created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2017-07-20 11:24:43 UTC,1,37.5,18.6,2.176,1.811,4.038,0.489,1.694
2017-07-20 11:25:45 UTC,2,41.1,16.6,2.152,1.817,4.040,0.489,1.694
2017-07-20 11:26:48 UTC,3,43.3,14.8,2.209,1.820,4.035,0.489,1.694
2017-07-20 11:27:56 UTC,4,44.6,14.0,2.093,1.822,4.039,0.489,1.693
2017-07-20 11:28:54 UTC,5,43.8,14.3,2.039,1.827,4.033,0.489,1.693
2017-07-20 11:29:56 UTC,6,44.7,13.5,1.983,1.827,4.041,0.489,1.693
2017-07-20 11:30:59 UTC,7,44.8,13.7,2.054,1.829,4.042,0.489,1.693
2017-07-20 11:32:02 UTC,8,41.7,15.3,1.931,1.830,4.043,0.489,1.693
2017-07-20 11:33:05 UTC,9,44.0,14.2,1.893,1.827,4.043,0.489,1.693
2017-07-20 11:34:08 UTC,10,44.2,14.1,1.944,1.833,4.044,0.489,1.693
2017-07-20 11:35:10 UTC,11,45.8,13.4,1.851,1.838,4.037,0.489,1.693
2017-07-20 11:36:13 UTC,12,44.6,13.7,1.932,1.844,4.043,0.489,1.693
2017-07-20 11:37:16 UTC,13,45.7,13.1,1.873,1.850,4.043,0.489,1.693
2017-07-20 11:38:19 UTC,14,41.4,16.2,1.844,1.854,4.040,0.489,1.693
2017-07-20 11:39:22 UTC,15,40.2,16.5,1.882,1.862,4.045,0.489,1.693
2017-07-20 11:40:24 UTC,16,42.0,15.7,1.883,1.863,4.045,0.489,1.693
2017-07-20 11:41:27 UTC,17,44.7,13.6,1.910,1.869,4.045,0.489,1.693
2017-07-20 11:42:29 UTC,18,45.2,13.0,1.926,1.874,4.044,0.489,1.693
2017-07-20 11:43:32 UTC,19,44.0,12.9,1.881,1.876,4.044,0.489,1.693
2017-07-20 11:44:35 UTC,20,45.6,12.6,1.829,1.870,4.045,0.489,1.693
2017-07-20 11:45:38 UTC,21,44.9,12.8,1.810,1.866,4.045,0.489,1.692
2017-07-20 11:46:40 UTC,22,44.2,13.0,1.795,1.861,4.045,0.489,1.693
