created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2017-08-04 08:34:01 UTC,1,34.2,27.1,0.852,1.072,3.947,0.492,1.700
2017-08-04 08:34:20 UTC,2,35.1,25.7,0.855,1.074,3.948,0.491,1.700
2017-08-04 08:35:22 UTC,3,38.1,22.2,0.862,1.081,3.951,0.492,1.700
2017-08-04 08:36:24 UTC,4,40.6,19.4,0.869,1.085,3.954,0.492,1.700
2017-08-04 08:37:27 UTC,5,42.2,17.6,0.878,1.088,3.956,0.492,1.700
2017-08-04 08:38:30 UTC,6,43.9,16.4,0.885,1.092,3.958,0.492,1.700
2017-08-04 08:39:33 UTC,7,44.9,15.6,0.891,1.100,3.960,0.491,1.699
2017-08-04 08:40:35 UTC,8,45.7,15.0,0.898,1.107,3.964,0.492,1.700
2017-08-04 08:41:38 UTC,9,46.8,14.2,0.905,1.111,3.967,0.492,1.700
2017-08-04 08:42:41 UTC,10,47.8,13.4,0.909,1.116,3.952,0.491,1.699
2017-08-04 08:43:44 UTC,11,48.5,13.1,0.916,1.122,3.972,0.491,1.699
2017-08-04 08:44:47 UTC,12,49.2,12.6,0.926,1.130,3.976,0.491,1.699
2017-08-04 08:45:50 UTC,13,49.5,12.2,0.935,1.137,3.979,0.491,1.700
2017-08-04 08:46:53 UTC,14,49.8,12.1,0.944,1.142,3.983,0.491,1.700
2017-08-04 08:47:56 UTC,15,50.1,11.8,0.949,1.149,3.986,0.491,1.699
2017-08-04 08:48:59 UTC,16,50.6,11.6,0.956,1.156,3.989,0.491,1.699
2017-08-04 08:50:01 UTC,17,51.1,11.4,0.960,1.163,3.991,0.491,1.699
2017-08-04 08:51:02 UTC,18,51.6,11.1,0.964,1.168,3.995,0.491,1.700
2017-08-04 08:52:04 UTC,19,51.2,11.0,0.970,1.176,3.998,0.491,1.700
2017-08-04 08:53:06 UTC,20,51.6,10.9,0.976,1.182,4.002,0.492,1.701
2017-08-04 08:54:08 UTC,21,51.1,11.0,0.981,1.188,4.003,0.492,1.700
2017-08-04 08:55:11 UTC,22,51.2,11.0,0.985,1.192,4.007,0.492,1.701
2017-08-04 08:56:14 UTC,23,50.9,11.3,0.991,1.200,4.011,0.492,1.701
2017-08-04 08:57:17 UTC,24,50.9,11.1,0.995,1.204,4.013,0.492,1.701
2017-08-04 08:58:20 UTC,25,49.8,11.6,0.999,1.210,4.016,0.492,1.700
2017-08-04 08:59:22 UTC,26,49.6,11.9,1.004,1.216,4.019,0.491,1.700
2017-08-04 09:00:25 UTC,27,49.7,11.8,1.010,1.220,4.024,0.491,1.700
2017-08-04 09:01:28 UTC,28,49.9,11.8,1.014,1.225,4.026,0.491,1.699
2017-08-04 09:02:31 UTC,29,50.5,11.3,1.020,1.231,4.030,0.491,1.700
2017-08-04 09:03:34 UTC,30,51.1,11.1,1.028,1.238,4.032,0.491,1.699
2017-08-04 09:04:37 UTC,31,51.3,10.9,1.035,1.242,4.036,0.491,1.699
2017-08-04 09:05:40 UTC,32,51.8,10.7,1.040,1.245,4.039,0.491,1.699
2017-08-04 09:06:42 UTC,33,52.3,10.4,1.050,1.252,4.042,0.491,1.699
2017-08-04 09:07:44 UTC,34,52.7,10.2,1.060,1.258,4.043,0.491,1.699
2017-08-04 09:08:46 UTC,35,53.0,10.0,1.067,1.266,4.047,0.491,1.699
2017-08-04 09:09:47 UTC,36,53.3,9.9,1.075,1.270,4.051,0.491,1.700
2017-08-04 09:10:49 UTC,37,53.9,9.6,1.088,1.277,4.053,0.491,1.699
2017-08-04 09:11:52 UTC,38,54.1,9.5,1.090,1.284,4.039,0.491,1.699
2017-08-04 09:12:55 UTC,39,53.1,9.8,1.099,1.292,4.041,0.491,1.699
2017-08-04 09:13:58 UTC,40,53.5,9.8,1.113,1.295,4.060,0.491,1.699
2017-08-04 09:15:06 UTC,41,54.0,9.5,1.122,1.303,4.061,0.491,1.699
2017-08-04 09:16:04 UTC,42,54.0,9.3,1.130,1.310,4.066,0.491,1.700
2017-08-04 09:17:07 UTC,43,54.5,9.2,1.139,1.315,4.067,0.491,1.699
2017-08-04 09:18:10 UTC,44,55.0,8.9,1.145,1.319,4.068,0.491,1.699
2017-08-04 09:19:13 UTC,45,55.3,8.7,1.154,1.328,4.071,0.491,1.699
2017-08-04 09:20:15 UTC,46,55.4,8.6,1.163,1.331,4.073,0.491,1.700
2017-08-04 09:21:18 UTC,47,55.4,8.7,1.173,1.337,4.074,0.491,1.699
2017-08-04 09:22:21 UTC,48,55.7,8.6,1.185,1.343,4.071,0.491,1.699
2017-08-04 09:23:24 UTC,49,56.1,8.4,1.187,1.346,4.072,0.491,1.699
2017-08-04 09:24:26 UTC,50,56.7,8.3,1.193,1.350,4.071,0.491,1.699
2017-08-04 09:25:28 UTC,51,56.8,8.2,1.203,1.357,4.069,0.491,1.699
2017-08-04 09:26:30 UTC,52,56.9,8.1,1.205,1.361,4.055,0.491,1.699
2017-08-04 09:27:32 UTC,53,56.3,8.3,1.217,1.367,4.069,0.491,1.699
2017-08-04 09:28:34 UTC,54,56.0,8.4,1.220,1.370,4.069,0.491,1.699
2017-08-04 09:29:37 UTC,55,56.1,8.4,1.226,1.374,4.068,0.491,1.699
2017-08-04 09:30:40 UTC,56,55.9,8.4,1.237,1.381,4.069,0.491,1.699
2017-08-04 09:31:43 UTC,57,56.0,8.4,1.240,1.386,4.055,0.491,1.699
2017-08-04 09:32:46 UTC,58,56.7,8.2,1.250,1.392,4.069,0.491,1.699
2017-08-04 09:33:49 UTC,59,57.1,8.0,1.259,1.396,4.068,0.491,1.699
2017-08-04 09:34:52 UTC,60,57.6,7.8,1.265,1.401,4.068,0.491,1.700
2017-08-04 09:35:55 UTC,61,57.9,7.6,1.270,1.404,4.067,0.491,1.699
2017-08-04 09:36:58 UTC,62,57.8,7.5,1.283,1.410,4.065,0.491,1.699
2017-08-04 09:38:01 UTC,63,57.5,7.7,1.284,1.410,4.065,0.491,1.699
