azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4,azimuth5,elevation5,temperature5,humidity5,vPanel5,azimuth6,elevation6,temperature6,humidity6,vPanel6,azimuth7,elevation7,temperature7,humidity7,vPanel7,azimuth8,elevation8,temperature8,humidity8,vPanel8,azimuth9,elevation9,temperature9,humidity9,vPanel9,azimuth10,elevation10,temperature10,humidity10,vPanel10,azimuth11,elevation11,temperature11,humidity11,vPanel11,azimuth12,elevation12,temperature12,humidity12,vPanel12,azimuth13,elevation13,temperature13,humidity13,vPanel13,azimuth14,elevation14,temperature14,humidity14,vPanel14
106.861,49.836,43.6,13.8,1.125,107.155,50.069,44.3,13.6,1.119,107.442,50.296,42.5,15.0,1.125,107.74,50.528,42.6,15.2,1.134,108.036,50.757,42.3,15.1,1.134,108.65,51.226,40.4,16.5,1.147,108.953,51.454,41.3,15.8,1.154,109.25,51.676,40.6,16.4,1.167,109.557,51.903,41.3,15.6,1.184,109.871,52.133,41.2,15.5,1.185,110.183,52.359,41.6,15.3,1.193,110.502,52.587,42.0,15.1,1.2,110.819,52.813,41.7,14.9,1.205,111.143,53.04,41.8,15.1,1.212,111.453,53.256,42.9,14.5,1.216
107.155,50.069,44.3,13.6,1.119,107.442,50.296,42.5,15.0,1.125,107.74,50.528,42.6,15.2,1.134,108.036,50.757,42.3,15.1,1.134,108.65,51.226,40.4,16.5,1.147,108.953,51.454,41.3,15.8,1.154,109.25,51.676,40.6,16.4,1.167,109.557,51.903,41.3,15.6,1.184,109.871,52.133,41.2,15.5,1.185,110.183,52.359,41.6,15.3,1.193,110.502,52.587,42.0,15.1,1.2,110.819,52.813,41.7,14.9,1.205,111.143,53.04,41.8,15.1,1.212,111.453,53.256,42.9,14.5,1.216,111.795,53.491,42.8,13.1,1.229
107.442,50.296,42.5,15.0,1.125,107.74,50.528,42.6,15.2,1.134,108.036,50.757,42.3,15.1,1.134,108.65,51.226,40.4,16.5,1.147,108.953,51.454,41.3,15.8,1.154,109.25,51.676,40.6,16.4,1.167,109.557,51.903,41.3,15.6,1.184,109.871,52.133,41.2,15.5,1.185,110.183,52.359,41.6,15.3,1.193,110.502,52.587,42.0,15.1,1.2,110.819,52.813,41.7,14.9,1.205,111.143,53.04,41.8,15.1,1.212,111.453,53.256,42.9,14.5,1.216,111.795,53.491,42.8,13.1,1.229,112.122,53.715,42.2,13.8,1.245
107.74,50.528,42.6,15.2,1.134,108.036,50.757,42.3,15.1,1.134,108.65,51.226,40.4,16.5,1.147,108.953,51.454,41.3,15.8,1.154,109.25,51.676,40.6,16.4,1.167,109.557,51.903,41.3,15.6,1.184,109.871,52.133,41.2,15.5,1.185,110.183,52.359,41.6,15.3,1.193,110.502,52.587,42.0,15.1,1.2,110.819,52.813,41.7,14.9,1.205,111.143,53.04,41.8,15.1,1.212,111.453,53.256,42.9,14.5,1.216,111.795,53.491,42.8,13.1,1.229,112.122,53.715,42.2,13.8,1.245,112.453,53.937,42.3,13.7,1.253
108.036,50.757,42.3,15.1,1.134,108.65,51.226,40.4,16.5,1.147,108.953,51.454,41.3,15.8,1.154,109.25,51.676,40.6,16.4,1.167,109.557,51.903,41.3,15.6,1.184,109.871,52.133,41.2,15.5,1.185,110.183,52.359,41.6,15.3,1.193,110.502,52.587,42.0,15.1,1.2,110.819,52.813,41.7,14.9,1.205,111.143,53.04,41.8,15.1,1.212,111.453,53.256,42.9,14.5,1.216,111.795,53.491,42.8,13.1,1.229,112.122,53.715,42.2,13.8,1.245,112.453,53.937,42.3,13.7,1.253,112.795,54.166,44.5,12.8,1.259
108.65,51.226,40.4,16.5,1.147,108.953,51.454,41.3,15.8,1.154,109.25,51.676,40.6,16.4,1.167,109.557,51.903,41.3,15.6,1.184,109.871,52.133,41.2,15.5,1.185,110.183,52.359,41.6,15.3,1.193,110.502,52.587,42.0,15.1,1.2,110.819,52.813,41.7,14.9,1.205,111.143,53.04,41.8,15.1,1.212,111.453,53.256,42.9,14.5,1.216,111.795,53.491,42.8,13.1,1.229,112.122,53.715,42.2,13.8,1.245,112.453,53.937,42.3,13.7,1.253,112.795,54.166,44.5,12.8,1.259,113.145,54.396,45.0,12.8,1.261
108.953,51.454,41.3,15.8,1.154,109.25,51.676,40.6,16.4,1.167,109.557,51.903,41.3,15.6,1.184,109.871,52.133,41.2,15.5,1.185,110.183,52.359,41.6,15.3,1.193,110.502,52.587,42.0,15.1,1.2,110.819,52.813,41.7,14.9,1.205,111.143,53.04,41.8,15.1,1.212,111.453,53.256,42.9,14.5,1.216,111.795,53.491,42.8,13.1,1.229,112.122,53.715,42.2,13.8,1.245,112.453,53.937,42.3,13.7,1.253,112.795,54.166,44.5,12.8,1.259,113.145,54.396,45.0,12.8,1.261,113.466,54.605,42.8,14.1,1.266
109.25,51.676,40.6,16.4,1.167,109.557,51.903,41.3,15.6,1.184,109.871,52.133,41.2,15.5,1.185,110.183,52.359,41.6,15.3,1.193,110.502,52.587,42.0,15.1,1.2,110.819,52.813,41.7,14.9,1.205,111.143,53.04,41.8,15.1,1.212,111.453,53.256,42.9,14.5,1.216,111.795,53.491,42.8,13.1,1.229,112.122,53.715,42.2,13.8,1.245,112.453,53.937,42.3,13.7,1.253,112.795,54.166,44.5,12.8,1.259,113.145,54.396,45.0,12.8,1.261,113.466,54.605,42.8,14.1,1.266,113.813,54.829,43.6,13.8,1.264
109.557,51.903,41.3,15.6,1.184,109.871,52.133,41.2,15.5,1.185,110.183,52.359,41.6,15.3,1.193,110.502,52.587,42.0,15.1,1.2,110.819,52.813,41.7,14.9,1.205,111.143,53.04,41.8,15.1,1.212,111.453,53.256,42.9,14.5,1.216,111.795,53.491,42.8,13.1,1.229,112.122,53.715,42.2,13.8,1.245,112.453,53.937,42.3,13.7,1.253,112.795,54.166,44.5,12.8,1.259,113.145,54.396,45.0,12.8,1.261,113.466,54.605,42.8,14.1,1.266,113.813,54.829,43.6,13.8,1.264,114.176,55.06,44.5,13.2,1.276
109.871,52.133,41.2,15.5,1.185,110.183,52.359,41.6,15.3,1.193,110.502,52.587,42.0,15.1,1.2,110.819,52.813,41.7,14.9,1.205,111.143,53.04,41.8,15.1,1.212,111.453,53.256,42.9,14.5,1.216,111.795,53.491,42.8,13.1,1.229,112.122,53.715,42.2,13.8,1.245,112.453,53.937,42.3,13.7,1.253,112.795,54.166,44.5,12.8,1.259,113.145,54.396,45.0,12.8,1.261,113.466,54.605,42.8,14.1,1.266,113.813,54.829,43.6,13.8,1.264,114.176,55.06,44.5,13.2,1.276,114.58,55.314,44.2,13.3,1.282
