azimuth0,elevation0,temperature0,humidity0,vPanel0
93.577,29.3,35.2,20.3,0.628
93.754,29.499,35.8,19.7,0.637
93.933,29.698,36.4,19.2,0.643
94.111,29.896,36.7,18.9,0.648
94.301,30.108,36.7,18.8,0.656
94.467,30.291,37.1,18.5,0.663
94.646,30.49,37.0,18.5,0.67
94.827,30.689,37.2,18.4,0.676
95.007,30.887,37.3,18.1,0.68
95.189,31.086,37.6,17.8,0.688
95.37,31.285,38.2,17.3,0.694
95.549,31.48,38.4,17.1,0.701
95.732,31.678,38.0,17.5,0.706
95.915,31.877,38.3,17.0,0.712
96.099,32.075,38.7,16.8,0.718
96.283,32.273,39.4,16.2,0.724
96.464,32.468,39.9,15.8,0.73
96.643,32.66,40.3,15.6,0.74
96.826,32.855,40.6,15.5,0.746
97.009,33.05,40.9,15.3,0.752
97.193,33.245,40.6,15.1,0.757
97.377,33.44,40.7,15.1,0.766
97.562,33.634,41.2,15.1,0.773
97.75,33.832,41.3,14.9,0.779
97.939,34.029,41.6,14.8,0.786
98.125,34.224,41.8,14.4,0.794
98.315,34.421,41.9,14.1,0.8
98.506,34.619,42.5,13.9,0.806
98.697,34.816,42.9,13.4,0.812
98.889,35.013,43.2,13.0,0.819
99.081,35.21,42.4,13.3,0.825
99.275,35.407,42.2,13.5,0.83
99.465,35.601,42.3,13.5,0.836
99.66,35.797,42.6,13.0,0.843
99.855,35.994,42.9,13.1,0.85
100.05,36.19,43.4,12.4,0.855
100.247,36.387,43.2,12.5,0.862
100.444,36.583,42.7,12.6,0.87
100.654,36.792,43.3,12.4,0.879
100.84,36.975,43.3,12.3,0.883
101.039,37.171,43.2,12.3,0.89
101.236,37.364,43.8,12.1,0.897
101.436,37.559,44.5,11.6,0.902
101.638,37.755,44.8,11.5,0.908
101.836,37.947,45.0,11.4,0.913
102.036,38.139,45.2,11.3,0.918
102.236,38.331,45.7,11.1,0.923
102.438,38.523,46.2,10.5,0.931
102.636,38.711,46.7,10.3,0.937
102.839,38.903,47.2,10.1,0.939
103.046,39.097,47.2,10.1,0.949
103.25,39.288,47.4,10.2,0.954
103.458,39.482,47.9,10.0,0.959
103.668,39.676,48.3,9.9,0.964
103.878,39.87,48.4,9.7,0.971
104.089,40.064,48.4,9.5,0.975
104.297,40.254,48.5,9.5,0.981
104.51,40.447,48.8,9.4,0.985
104.723,40.64,48.7,9.5,0.99
104.938,40.833,46.5,10.5,0.995
105.153,41.026,46.2,11.0,1.002
105.37,41.218,46.7,10.6,1.006
105.587,41.411,46.8,10.5,1.01
105.802,41.6,47.5,10.1,1.014
106.021,41.791,48.2,9.8,1.022
106.242,41.983,48.0,9.7,1.024
106.463,42.174,47.5,10.0,1.031
106.685,42.366,47.4,9.9,1.037
106.909,42.557,47.9,9.5,1.039
107.133,42.747,47.3,9.7,1.045
107.358,42.938,47.7,9.6,1.05
107.578,43.122,48.3,9.4,1.057
107.802,43.309,48.6,9.3,1.061
108.027,43.496,49.0,9.0,1.066
108.253,43.683,49.4,8.8,1.078
108.48,43.869,50.0,8.6,1.084
108.708,44.055,50.5,8.3,1.096
108.938,44.241,50.1,8.4,1.098
109.168,44.427,48.8,9.0,1.089
109.403,44.615,48.1,9.1,1.091
109.697,44.848,46.3,10.1,1.099
109.878,44.991,46.3,10.1,1.108
110.117,45.178,46.6,9.8,1.12
110.357,45.365,46.6,9.8,1.132
110.599,45.552,47.6,9.4,1.141
110.841,45.739,48.9,8.8,1.153
111.086,45.925,50.1,8.4,1.162
111.327,46.108,50.6,8.1,1.169
111.574,46.294,50.5,8.1,1.177
111.822,46.479,49.2,8.7,1.184
112.071,46.664,49.9,8.4,1.195
112.322,46.849,51.0,8.1,1.202
112.574,47.034,52.1,7.8,1.211
112.824,47.215,52.4,7.5,1.217
113.074,47.396,52.3,7.5,1.224
113.323,47.573,52.3,7.3,1.232
113.576,47.753,51.9,7.5,1.236
113.831,47.933,51.4,7.9,1.243
114.092,48.115,48.3,9.0,1.241
114.354,48.297,47.5,9.3,1.245
114.622,48.482,47.9,9.3,1.249
114.883,48.66,49.2,8.8,1.26
115.15,48.841,50.3,8.3,1.268
115.414,49.018,51.2,8.1,1.282
115.684,49.198,51.8,7.6,1.291
115.956,49.378,50.6,7.9,1.293
116.229,49.557,51.1,8.0,1.3
116.504,49.736,50.7,8.0,1.307
116.781,49.914,51.2,7.9,1.317
117.081,50.106,50.9,7.7,1.32
117.339,50.27,50.3,8.0,1.328
117.616,50.444,51.2,7.7,1.338
117.891,50.615,51.4,7.3,1.349
118.172,50.788,51.4,7.5,1.367
118.454,50.961,51.6,7.4,1.382
118.738,51.133,52.9,7.0,1.399
119.029,51.308,53.9,6.5,1.418
119.321,51.482,54.7,6.3,1.419
119.616,51.656,55.7,6.1,1.414
119.912,51.829,55.3,6.0,1.091
120.205,51.999,52.1,7.1,1.022
120.505,52.171,50.9,8.0,0.968
120.812,52.346,48.5,8.5,1.031
121.112,52.514,47.5,9.1,0.971
121.423,52.687,47.4,9.2,1.099
121.726,52.854,47.3,9.1,1.148
122.036,53.024,47.3,9.1,1.153
122.348,53.193,47.5,9.2,1.105
122.658,53.358,47.3,9.0,1.094
122.969,53.523,48.3,8.6,1.022
123.283,53.688,49.3,8.1,1.057
123.598,53.852,49.6,7.8,0.996
123.916,54.015,49.6,7.7,1.072
124.236,54.177,48.9,8.2,1.051
124.564,54.342,48.6,8.3,0.933
124.893,54.506,48.2,8.3,0.915
125.225,54.669,47.2,8.8,0.845
125.554,54.829,46.8,9.1,0.88
125.89,54.991,47.2,8.9,0.92
126.229,55.153,47.6,8.8,0.877
126.571,55.313,47.7,9.0,0.866
126.914,55.473,47.3,9.0,0.863
127.26,55.632,47.1,9.1,1.056
127.609,55.791,47.3,8.6,1.0
127.96,55.948,47.7,8.6,1.225
128.314,56.105,49.2,8.1,1.136
128.67,56.261,50.9,7.3,1.634
129.023,56.414,53.2,6.5,1.598
129.378,56.566,54.6,6.0,1.482
129.736,56.718,55.9,5.6,1.283
130.097,56.868,55.5,5.7,0.812
130.46,57.018,53.2,6.3,0.54
130.831,57.169,51.1,7.4,0.898
131.206,57.32,47.7,8.5,0.93
131.582,57.469,47.6,8.5,1.589
