azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4,azimuth5,elevation5,temperature5,humidity5,vPanel5,azimuth6,elevation6,temperature6,humidity6,vPanel6,azimuth7,elevation7,temperature7,humidity7,vPanel7
208.87,64.991,53.6,5.0,2.177,209.387,64.898,55.7,4.4,2.111,209.927,64.799,55.0,4.5,2.142,210.454,64.7,54.1,4.5,1.991,210.987,64.598,52.8,4.9,1.888,211.516,64.494,53.0,4.7,2.014,212.041,64.389,53.6,4.6,1.992,212.562,64.282,52.9,4.9,2.014
209.387,64.898,55.7,4.4,2.111,209.927,64.799,55.0,4.5,2.142,210.454,64.7,54.1,4.5,1.991,210.987,64.598,52.8,4.9,1.888,211.516,64.494,53.0,4.7,2.014,212.041,64.389,53.6,4.6,1.992,212.562,64.282,52.9,4.9,2.014,213.072,64.176,52.0,5.1,2.001
209.927,64.799,55.0,4.5,2.142,210.454,64.7,54.1,4.5,1.991,210.987,64.598,52.8,4.9,1.888,211.516,64.494,53.0,4.7,2.014,212.041,64.389,53.6,4.6,1.992,212.562,64.282,52.9,4.9,2.014,213.072,64.176,52.0,5.1,2.001,213.586,64.066,52.1,5.1,1.975
210.454,64.7,54.1,4.5,1.991,210.987,64.598,52.8,4.9,1.888,211.516,64.494,53.0,4.7,2.014,212.041,64.389,53.6,4.6,1.992,212.562,64.282,52.9,4.9,2.014,213.072,64.176,52.0,5.1,2.001,213.586,64.066,52.1,5.1,1.975,214.088,63.956,52.6,5.1,1.972
210.987,64.598,52.8,4.9,1.888,211.516,64.494,53.0,4.7,2.014,212.041,64.389,53.6,4.6,1.992,212.562,64.282,52.9,4.9,2.014,213.072,64.176,52.0,5.1,2.001,213.586,64.066,52.1,5.1,1.975,214.088,63.956,52.6,5.1,1.972,214.603,63.841,52.7,5.0,1.969
211.516,64.494,53.0,4.7,2.014,212.041,64.389,53.6,4.6,1.992,212.562,64.282,52.9,4.9,2.014,213.072,64.176,52.0,5.1,2.001,213.586,64.066,52.1,5.1,1.975,214.088,63.956,52.6,5.1,1.972,214.603,63.841,52.7,5.0,1.969,215.114,63.725,52.3,5.2,1.975
212.041,64.389,53.6,4.6,1.992,212.562,64.282,52.9,4.9,2.014,213.072,64.176,52.0,5.1,2.001,213.586,64.066,52.1,5.1,1.975,214.088,63.956,52.6,5.1,1.972,214.603,63.841,52.7,5.0,1.969,215.114,63.725,52.3,5.2,1.975,215.597,63.613,53.0,4.7,1.978
212.562,64.282,52.9,4.9,2.014,213.072,64.176,52.0,5.1,2.001,213.586,64.066,52.1,5.1,1.975,214.088,63.956,52.6,5.1,1.972,214.603,63.841,52.7,5.0,1.969,215.114,63.725,52.3,5.2,1.975,215.597,63.613,53.0,4.7,1.978,216.093,63.496,54.1,4.7,1.993
213.072,64.176,52.0,5.1,2.001,213.586,64.066,52.1,5.1,1.975,214.088,63.956,52.6,5.1,1.972,214.603,63.841,52.7,5.0,1.969,215.114,63.725,52.3,5.2,1.975,215.597,63.613,53.0,4.7,1.978,216.093,63.496,54.1,4.7,1.993,216.585,63.378,54.3,4.4,1.997
213.586,64.066,52.1,5.1,1.975,214.088,63.956,52.6,5.1,1.972,214.603,63.841,52.7,5.0,1.969,215.114,63.725,52.3,5.2,1.975,215.597,63.613,53.0,4.7,1.978,216.093,63.496,54.1,4.7,1.993,216.585,63.378,54.3,4.4,1.997,217.073,63.258,52.8,5.0,1.972
