azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4
187.703,68.432,53.2,9.2,1.776,188.352,68.405,51.6,9.8,1.773,189.02,68.374,48.4,10.7,1.763,189.719,68.34,47.4,11.2,1.756,190.352,68.307,48.8,10.8,1.749
188.352,68.405,51.6,9.8,1.773,189.02,68.374,48.4,10.7,1.763,189.719,68.34,47.4,11.2,1.756,190.352,68.307,48.8,10.8,1.749,191.676,68.23,51.5,10.0,1.749
189.02,68.374,48.4,10.7,1.763,189.719,68.34,47.4,11.2,1.756,190.352,68.307,48.8,10.8,1.749,191.676,68.23,51.5,10.0,1.749,192.971,68.146,52.5,9.3,1.747
189.719,68.34,47.4,11.2,1.756,190.352,68.307,48.8,10.8,1.749,191.676,68.23,51.5,10.0,1.749,192.971,68.146,52.5,9.3,1.747,193.625,68.1,52.3,9.1,1.747
190.352,68.307,48.8,10.8,1.749,191.676,68.23,51.5,10.0,1.749,192.971,68.146,52.5,9.3,1.747,193.625,68.1,52.3,9.1,1.747,194.287,68.051,53.1,8.9,1.745
191.676,68.23,51.5,10.0,1.749,192.971,68.146,52.5,9.3,1.747,193.625,68.1,52.3,9.1,1.747,194.287,68.051,53.1,8.9,1.745,194.926,68.001,52.9,9.0,1.743
192.971,68.146,52.5,9.3,1.747,193.625,68.1,52.3,9.1,1.747,194.287,68.051,53.1,8.9,1.745,194.926,68.001,52.9,9.0,1.743,195.572,67.948,51.9,9.3,1.734
193.625,68.1,52.3,9.1,1.747,194.287,68.051,53.1,8.9,1.745,194.926,68.001,52.9,9.0,1.743,195.572,67.948,51.9,9.3,1.734,196.216,67.893,51.5,9.3,1.728
194.287,68.051,53.1,8.9,1.745,194.926,68.001,52.9,9.0,1.743,195.572,67.948,51.9,9.3,1.734,196.216,67.893,51.5,9.3,1.728,196.857,67.836,52.7,9.3,1.727
194.926,68.001,52.9,9.0,1.743,195.572,67.948,51.9,9.3,1.734,196.216,67.893,51.5,9.3,1.728,196.857,67.836,52.7,9.3,1.727,197.485,67.778,52.1,9.2,1.728
195.572,67.948,51.9,9.3,1.734,196.216,67.893,51.5,9.3,1.728,196.857,67.836,52.7,9.3,1.727,197.485,67.778,52.1,9.2,1.728,198.12,67.717,52.3,9.3,1.724
196.216,67.893,51.5,9.3,1.728,196.857,67.836,52.7,9.3,1.727,197.485,67.778,52.1,9.2,1.728,198.12,67.717,52.3,9.3,1.724,198.751,67.654,54.5,8.4,1.72
