azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4,azimuth5,elevation5,temperature5,humidity5,vPanel5,azimuth6,elevation6,temperature6,humidity6,vPanel6
144.768,66.708,37.5,18.6,2.176,145.311,66.821,41.1,16.6,2.152,145.867,66.934,43.3,14.8,2.209,146.473,67.053,44.6,14.0,2.093,146.994,67.154,43.8,14.3,2.039,147.555,67.26,44.7,13.5,1.983,148.13,67.366,44.8,13.7,2.054
145.311,66.821,41.1,16.6,2.152,145.867,66.934,43.3,14.8,2.209,146.473,67.053,44.6,14.0,2.093,146.994,67.154,43.8,14.3,2.039,147.555,67.26,44.7,13.5,1.983,148.13,67.366,44.8,13.7,2.054,148.71,67.471,41.7,15.3,1.931
145.867,66.934,43.3,14.8,2.209,146.473,67.053,44.6,14.0,2.093,146.994,67.154,43.8,14.3,2.039,147.555,67.26,44.7,13.5,1.983,148.13,67.366,44.8,13.7,2.054,148.71,67.471,41.7,15.3,1.931,149.294,67.574,44.0,14.2,1.893
146.473,67.053,44.6,14.0,2.093,146.994,67.154,43.8,14.3,2.039,147.555,67.26,44.7,13.5,1.983,148.13,67.366,44.8,13.7,2.054,148.71,67.471,41.7,15.3,1.931,149.294,67.574,44.0,14.2,1.893,149.882,67.675,44.2,14.1,1.944
146.994,67.154,43.8,14.3,2.039,147.555,67.26,44.7,13.5,1.983,148.13,67.366,44.8,13.7,2.054,148.71,67.471,41.7,15.3,1.931,149.294,67.574,44.0,14.2,1.893,149.882,67.675,44.2,14.1,1.944,150.466,67.772,45.8,13.4,1.851
147.555,67.26,44.7,13.5,1.983,148.13,67.366,44.8,13.7,2.054,148.71,67.471,41.7,15.3,1.931,149.294,67.574,44.0,14.2,1.893,149.882,67.675,44.2,14.1,1.944,150.466,67.772,45.8,13.4,1.851,151.064,67.87,44.6,13.7,1.932
148.13,67.366,44.8,13.7,2.054,148.71,67.471,41.7,15.3,1.931,149.294,67.574,44.0,14.2,1.893,149.882,67.675,44.2,14.1,1.944,150.466,67.772,45.8,13.4,1.851,151.064,67.87,44.6,13.7,1.932,151.667,67.965,45.7,13.1,1.873
148.71,67.471,41.7,15.3,1.931,149.294,67.574,44.0,14.2,1.893,149.882,67.675,44.2,14.1,1.944,150.466,67.772,45.8,13.4,1.851,151.064,67.87,44.6,13.7,1.932,151.667,67.965,45.7,13.1,1.873,152.274,68.059,41.4,16.2,1.844
149.294,67.574,44.0,14.2,1.893,149.882,67.675,44.2,14.1,1.944,150.466,67.772,45.8,13.4,1.851,151.064,67.87,44.6,13.7,1.932,151.667,67.965,45.7,13.1,1.873,152.274,68.059,41.4,16.2,1.844,152.885,68.151,40.2,16.5,1.882
149.882,67.675,44.2,14.1,1.944,150.466,67.772,45.8,13.4,1.851,151.064,67.87,44.6,13.7,1.932,151.667,67.965,45.7,13.1,1.873,152.274,68.059,41.4,16.2,1.844,152.885,68.151,40.2,16.5,1.882,153.491,68.239,42.0,15.7,1.883
150.466,67.772,45.8,13.4,1.851,151.064,67.87,44.6,13.7,1.932,151.667,67.965,45.7,13.1,1.873,152.274,68.059,41.4,16.2,1.844,152.885,68.151,40.2,16.5,1.882,153.491,68.239,42.0,15.7,1.883,154.112,68.327,44.7,13.6,1.91
151.064,67.87,44.6,13.7,1.932,151.667,67.965,45.7,13.1,1.873,152.274,68.059,41.4,16.2,1.844,152.885,68.151,40.2,16.5,1.882,153.491,68.239,42.0,15.7,1.883,154.112,68.327,44.7,13.6,1.91,154.726,68.412,45.2,13.0,1.926
151.667,67.965,45.7,13.1,1.873,152.274,68.059,41.4,16.2,1.844,152.885,68.151,40.2,16.5,1.882,153.491,68.239,42.0,15.7,1.883,154.112,68.327,44.7,13.6,1.91,154.726,68.412,45.2,13.0,1.926,155.355,68.496,44.0,12.9,1.881
152.274,68.059,41.4,16.2,1.844,152.885,68.151,40.2,16.5,1.882,153.491,68.239,42.0,15.7,1.883,154.112,68.327,44.7,13.6,1.91,154.726,68.412,45.2,13.0,1.926,155.355,68.496,44.0,12.9,1.881,155.989,68.578,45.6,12.6,1.829
152.885,68.151,40.2,16.5,1.882,153.491,68.239,42.0,15.7,1.883,154.112,68.327,44.7,13.6,1.91,154.726,68.412,45.2,13.0,1.926,155.355,68.496,44.0,12.9,1.881,155.989,68.578,45.6,12.6,1.829,156.626,68.658,44.9,12.8,1.81
153.491,68.239,42.0,15.7,1.883,154.112,68.327,44.7,13.6,1.91,154.726,68.412,45.2,13.0,1.926,155.355,68.496,44.0,12.9,1.881,155.989,68.578,45.6,12.6,1.829,156.626,68.658,44.9,12.8,1.81,157.257,68.735,44.2,13.0,1.795
154.112,68.327,44.7,13.6,1.91,154.726,68.412,45.2,13.0,1.926,155.355,68.496,44.0,12.9,1.881,155.989,68.578,45.6,12.6,1.829,156.626,68.658,44.9,12.8,1.81,157.257,68.735,44.2,13.0,1.795,157.934,68.815,45.0,12.7,1.777
154.726,68.412,45.2,13.0,1.926,155.355,68.496,44.0,12.9,1.881,155.989,68.578,45.6,12.6,1.829,156.626,68.658,44.9,12.8,1.81,157.257,68.735,44.2,13.0,1.795,157.934,68.815,45.0,12.7,1.777,158.553,68.885,46.6,12.0,1.78
155.355,68.496,44.0,12.9,1.881,155.989,68.578,45.6,12.6,1.829,156.626,68.658,44.9,12.8,1.81,157.257,68.735,44.2,13.0,1.795,157.934,68.815,45.0,12.7,1.777,158.553,68.885,46.6,12.0,1.78,159.206,68.957,41.9,13.8,1.789
155.989,68.578,45.6,12.6,1.829,156.626,68.658,44.9,12.8,1.81,157.257,68.735,44.2,13.0,1.795,157.934,68.815,45.0,12.7,1.777,158.553,68.885,46.6,12.0,1.78,159.206,68.957,41.9,13.8,1.789,159.854,69.026,45.3,12.9,1.798
156.626,68.658,44.9,12.8,1.81,157.257,68.735,44.2,13.0,1.795,157.934,68.815,45.0,12.7,1.777,158.553,68.885,46.6,12.0,1.78,159.206,68.957,41.9,13.8,1.789,159.854,69.026,45.3,12.9,1.798,160.515,69.093,44.7,12.7,1.794
157.257,68.735,44.2,13.0,1.795,157.934,68.815,45.0,12.7,1.777,158.553,68.885,46.6,12.0,1.78,159.206,68.957,41.9,13.8,1.789,159.854,69.026,45.3,12.9,1.798,160.515,69.093,44.7,12.7,1.794,161.18,69.159,39.6,16.7,1.785
157.934,68.815,45.0,12.7,1.777,158.553,68.885,46.6,12.0,1.78,159.206,68.957,41.9,13.8,1.789,159.854,69.026,45.3,12.9,1.798,160.515,69.093,44.7,12.7,1.794,161.18,69.159,39.6,16.7,1.785,161.838,69.221,41.2,15.8,1.79
158.553,68.885,46.6,12.0,1.78,159.206,68.957,41.9,13.8,1.789,159.854,69.026,45.3,12.9,1.798,160.515,69.093,44.7,12.7,1.794,161.18,69.159,39.6,16.7,1.785,161.838,69.221,41.2,15.8,1.79,162.521,69.283,45.9,12.8,1.792
159.206,68.957,41.9,13.8,1.789,159.854,69.026,45.3,12.9,1.798,160.515,69.093,44.7,12.7,1.794,161.18,69.159,39.6,16.7,1.785,161.838,69.221,41.2,15.8,1.79,162.521,69.283,45.9,12.8,1.792,163.186,69.341,44.8,13.1,1.781
159.854,69.026,45.3,12.9,1.798,160.515,69.093,44.7,12.7,1.794,161.18,69.159,39.6,16.7,1.785,161.838,69.221,41.2,15.8,1.79,162.521,69.283,45.9,12.8,1.792,163.186,69.341,44.8,13.1,1.781,163.865,69.397,44.6,12.8,1.783
160.515,69.093,44.7,12.7,1.794,161.18,69.159,39.6,16.7,1.785,161.838,69.221,41.2,15.8,1.79,162.521,69.283,45.9,12.8,1.792,163.186,69.341,44.8,13.1,1.781,163.865,69.397,44.6,12.8,1.783,164.536,69.45,44.3,13.1,1.783
161.18,69.159,39.6,16.7,1.785,161.838,69.221,41.2,15.8,1.79,162.521,69.283,45.9,12.8,1.792,163.186,69.341,44.8,13.1,1.781,163.865,69.397,44.6,12.8,1.783,164.536,69.45,44.3,13.1,1.783,165.222,69.502,42.7,14.3,1.793
161.838,69.221,41.2,15.8,1.79,162.521,69.283,45.9,12.8,1.792,163.186,69.341,44.8,13.1,1.781,163.865,69.397,44.6,12.8,1.783,164.536,69.45,44.3,13.1,1.783,165.222,69.502,42.7,14.3,1.793,165.91,69.552,43.1,14.6,1.806
162.521,69.283,45.9,12.8,1.792,163.186,69.341,44.8,13.1,1.781,163.865,69.397,44.6,12.8,1.783,164.536,69.45,44.3,13.1,1.783,165.222,69.502,42.7,14.3,1.793,165.91,69.552,43.1,14.6,1.806,166.601,69.599,43.7,13.6,1.809
163.186,69.341,44.8,13.1,1.781,163.865,69.397,44.6,12.8,1.783,164.536,69.45,44.3,13.1,1.783,165.222,69.502,42.7,14.3,1.793,165.91,69.552,43.1,14.6,1.806,166.601,69.599,43.7,13.6,1.809,167.284,69.644,45.1,12.8,1.816
163.865,69.397,44.6,12.8,1.783,164.536,69.45,44.3,13.1,1.783,165.222,69.502,42.7,14.3,1.793,165.91,69.552,43.1,14.6,1.806,166.601,69.599,43.7,13.6,1.809,167.284,69.644,45.1,12.8,1.816,167.981,69.686,46.0,12.8,1.804
164.536,69.45,44.3,13.1,1.783,165.222,69.502,42.7,14.3,1.793,165.91,69.552,43.1,14.6,1.806,166.601,69.599,43.7,13.6,1.809,167.284,69.644,45.1,12.8,1.816,167.981,69.686,46.0,12.8,1.804,168.68,69.726,46.3,12.4,1.801
165.222,69.502,42.7,14.3,1.793,165.91,69.552,43.1,14.6,1.806,166.601,69.599,43.7,13.6,1.809,167.284,69.644,45.1,12.8,1.816,167.981,69.686,46.0,12.8,1.804,168.68,69.726,46.3,12.4,1.801,169.382,69.764,46.5,12.2,1.803
165.91,69.552,43.1,14.6,1.806,166.601,69.599,43.7,13.6,1.809,167.284,69.644,45.1,12.8,1.816,167.981,69.686,46.0,12.8,1.804,168.68,69.726,46.3,12.4,1.801,169.382,69.764,46.5,12.2,1.803,170.086,69.8,45.2,12.8,1.8
166.601,69.599,43.7,13.6,1.809,167.284,69.644,45.1,12.8,1.816,167.981,69.686,46.0,12.8,1.804,168.68,69.726,46.3,12.4,1.801,169.382,69.764,46.5,12.2,1.803,170.086,69.8,45.2,12.8,1.8,170.781,69.832,41.0,15.9,1.795
