azimuth0,elevation0,temperature0,humidity0,vPanel0
226.32,58.565,41.7,2.7,0.414
226.715,58.42,41.0,2.7,0.407
227.106,58.274,40.7,2.9,0.404
227.488,58.13,40.8,3.2,0.405
227.874,57.982,40.5,3.2,0.407
228.257,57.833,40.5,3.4,0.41
228.637,57.684,40.6,3.3,0.421
229.014,57.533,40.9,3.4,0.442
229.389,57.382,40.4,3.3,0.502
229.755,57.232,40.8,3.2,0.521
230.124,57.079,40.8,3.2,0.509
230.491,56.925,40.6,3.3,0.548
230.855,56.771,41.6,3.3,0.622
231.216,56.615,42.7,3.0,0.613
231.574,56.459,42.4,2.9,0.57
231.925,56.304,42.8,3.1,0.688
232.273,56.149,43.8,3.0,0.675
232.613,55.996,43.6,2.6,0.655
232.956,55.839,44.2,2.8,0.707
233.296,55.682,45.3,2.7,0.688
233.635,55.524,45.2,2.6,0.629
233.971,55.365,44.4,2.9,0.542
234.31,55.203,44.6,2.9,0.51
234.646,55.04,44.1,2.9,0.542
234.975,54.88,43.1,3.3,0.634
235.307,54.716,43.5,3.1,0.743
235.642,54.548,43.7,3.0,0.789
235.964,54.386,44.7,3.0,0.854
236.289,54.22,45.7,2.8,0.965
236.611,54.053,46.3,2.4,1.063
236.932,53.886,46.7,2.3,1.09
237.25,53.718,47.9,1.9,1.211
237.562,53.552,49.2,1.7,1.258
237.876,53.383,50.9,1.6,1.319
238.188,53.214,53.6,1.5,1.322
238.497,53.044,54.6,0.9,1.334
238.805,52.873,54.9,0.8,1.317
239.111,52.702,54.7,0.8,1.312
239.419,52.527,55.0,0.9,1.326
239.716,52.358,56.0,0.8,1.307
240.011,52.188,56.3,0.7,1.273
240.304,52.017,55.8,0.6,1.259
240.595,51.846,55.6,0.6,1.231
240.885,51.674,55.4,0.7,1.221
241.172,51.502,55.2,0.7,1.199
241.458,51.33,54.0,0.9,1.19
241.741,51.157,53.3,1.0,1.171
242.019,50.986,52.3,1.0,1.157
242.304,50.809,51.4,1.2,1.16
242.587,50.632,49.9,1.1,1.127
242.868,50.455,49.3,1.2,1.123
243.148,50.276,49.4,1.2,1.113
243.425,50.098,49.8,1.0,1.099
243.702,49.919,50.4,1.2,1.086
243.972,49.742,48.6,1.2,1.062
244.244,49.563,47.4,1.4,1.054
244.515,49.383,47.2,1.4,1.041
244.785,49.202,47.9,1.3,1.028
245.053,49.021,48.9,1.1,1.027
245.319,48.84,49.7,1.1,1.015
245.584,48.658,49.7,0.9,1.007
245.843,48.479,49.4,1.1,1.001
246.104,48.296,49.1,1.0,0.99
246.364,48.113,48.9,1.1,0.989
