azimuth0,elevation0,temperature0,humidity0,vPanel0
98.306,36.179,34.2,27.1,0.852
98.364,36.239,35.1,25.7,0.855
98.553,36.433,38.1,22.2,0.862
98.743,36.627,40.6,19.4,0.869
98.936,36.824,42.2,17.6,0.878
99.13,37.021,43.9,16.4,0.885
99.325,37.218,44.9,15.6,0.891
99.517,37.412,45.7,15.0,0.898
99.713,37.609,46.8,14.2,0.905
99.91,37.805,47.8,13.4,0.909
100.108,38.002,48.5,13.1,0.916
100.306,38.198,49.2,12.6,0.926
100.505,38.394,49.5,12.2,0.935
100.705,38.59,49.8,12.1,0.944
100.905,38.786,50.1,11.8,0.949
101.107,38.982,50.6,11.6,0.956
101.305,39.175,51.1,11.4,0.96
101.502,39.364,51.6,11.1,0.964
101.702,39.556,51.2,11.0,0.97
101.903,39.748,51.6,10.9,0.976
102.105,39.941,51.1,11.0,0.981
102.311,40.136,51.2,11.0,0.985
102.518,40.33,50.9,11.3,0.991
102.726,40.525,50.9,11.1,0.995
102.934,40.72,49.8,11.6,0.999
103.14,40.911,49.6,11.9,1.004
103.351,41.105,49.7,11.8,1.01
103.562,41.299,49.9,11.8,1.014
103.774,41.493,50.5,11.3,1.02
103.987,41.687,51.1,11.1,1.028
104.201,41.88,51.3,10.9,1.035
104.416,42.073,51.8,10.7,1.04
104.628,42.264,52.3,10.4,1.05
104.842,42.453,52.7,10.2,1.06
105.056,42.643,53.0,10.0,1.067
105.268,42.83,53.3,9.9,1.075
105.484,43.019,53.9,9.6,1.088
105.705,43.211,54.1,9.5,1.09
105.927,43.403,53.1,9.8,1.099
106.15,43.595,53.5,9.8,1.113
106.391,43.802,54.0,9.5,1.122
106.598,43.978,54.0,9.3,1.13
106.825,44.169,54.5,9.2,1.139
107.052,44.36,55.0,8.9,1.145
107.28,44.55,55.3,8.7,1.154
107.506,44.738,55.4,8.6,1.163
107.737,44.928,55.4,8.7,1.173
107.968,45.118,55.7,8.6,1.185
108.201,45.307,56.1,8.4,1.187
108.432,45.494,56.7,8.3,1.193
108.663,45.68,56.8,8.2,1.203
108.896,45.866,56.9,8.1,1.205
109.13,46.051,56.3,8.3,1.217
109.366,46.237,56.0,8.4,1.22
109.606,46.425,56.1,8.4,1.226
109.847,46.613,55.9,8.4,1.237
110.09,46.8,56.0,8.4,1.24
110.335,46.988,56.7,8.2,1.25
110.58,47.174,57.1,8.0,1.259
110.827,47.361,57.6,7.8,1.265
111.075,47.547,57.9,7.6,1.27
111.325,47.733,57.8,7.5,1.283
111.576,47.919,57.5,7.7,1.284
111.825,48.102,57.8,7.6,1.294
112.079,48.287,58.2,7.4,1.301
112.33,48.468,58.4,7.3,1.31
112.587,48.653,58.6,7.2,1.314
112.837,48.831,58.7,7.2,1.324
113.093,49.012,59.2,7.2,1.335
113.355,49.195,59.8,6.9,1.344
113.618,49.378,60.2,6.7,1.352
113.882,49.561,60.2,6.7,1.365
114.144,49.74,60.6,6.5,1.367
114.412,49.922,60.9,6.4,1.37
114.682,50.104,61.0,6.3,1.379
114.953,50.285,61.2,6.3,1.385
115.225,50.465,61.6,6.1,1.394
115.5,50.646,61.8,6.2,1.404
115.781,50.828,61.9,6.2,1.415
116.054,51.005,61.2,5.8,1.422
116.329,51.181,60.1,6.3,1.431
116.607,51.357,60.0,6.2,1.428
116.881,51.53,59.2,6.5,1.436
