azimuth0,elevation0,temperature0,humidity0,vPanel0
117.161,51.704,59.1,6.5,1.443
117.448,51.882,58.5,6.7,1.447
117.737,52.059,57.9,6.9,1.456
118.028,52.235,58.1,6.9,1.464
118.32,52.411,59.1,6.6,1.468
118.615,52.586,58.8,6.9,1.473
118.912,52.761,58.0,7.0,1.474
119.21,52.936,57.3,7.2,1.486
119.506,53.107,57.1,7.2,1.494
119.808,53.28,57.6,7.1,1.498
120.113,53.453,58.5,6.8,1.5
120.42,53.625,59.5,6.4,1.511
120.724,53.794,60.5,6.2,1.514
121.03,53.963,60.5,6.2,1.517
121.338,54.131,61.4,5.9,1.524
121.648,54.298,62.1,5.6,1.533
121.966,54.468,62.8,5.5,1.55
122.285,54.637,63.0,5.3,1.558
122.607,54.805,63.0,5.3,1.555
122.932,54.973,63.4,5.2,1.572
123.258,55.14,63.5,5.1,1.576
123.582,55.304,63.7,5.1,1.582
123.913,55.47,64.1,5.0,1.587
124.242,55.632,63.5,5.2,1.593
124.572,55.794,62.1,5.5,1.598
124.905,55.956,61.4,5.7,1.606
125.241,56.116,61.0,5.7,1.602
125.579,56.276,61.0,5.8,1.606
125.925,56.438,61.6,5.7,1.614
126.273,56.6,61.8,5.6,1.618
126.619,56.758,61.5,5.7,1.614
126.972,56.917,62.0,5.4,1.618
127.328,57.076,61.8,5.5,1.62
127.687,57.235,62.0,5.5,1.624
128.049,57.392,62.5,5.4,1.628
128.413,57.549,63.3,5.1,1.636
128.78,57.705,63.9,5.1,1.645
129.144,57.857,64.6,4.8,1.652
129.517,58.012,65.2,4.6,1.659
129.886,58.163,65.6,4.5,1.669
130.258,58.313,66.0,4.3,1.675
130.633,58.462,65.9,4.3,1.678
131.017,58.613,66.1,4.3,1.687
131.404,58.763,65.8,4.3,1.677
131.794,58.913,66.0,4.3,1.667
132.187,59.061,66.2,4.2,1.649
132.583,59.208,66.9,4.1,1.653
132.975,59.352,66.6,4.1,1.649
133.377,59.498,66.9,4.1,1.655
133.788,59.644,66.4,4.2,1.643
134.19,59.786,66.7,4.2,1.646
134.601,59.928,66.7,4.1,1.619
135.015,60.07,66.8,4.1,1.612
135.433,60.21,67.1,4.1,1.617
135.853,60.35,67.4,4.0,1.617
136.264,60.484,67.5,4.0,1.613
136.684,60.619,67.9,3.9,1.627
137.107,60.753,67.9,3.9,1.659
137.541,60.888,67.0,4.1,1.647
137.977,61.022,64.7,4.7,1.644
138.418,61.155,65.0,4.6,1.642
138.861,61.287,64.0,4.8,1.642
139.308,61.418,64.4,4.7,1.645
139.758,61.547,65.0,4.5,1.649
140.204,61.673,64.2,4.6,1.645
140.661,61.8,64.4,4.6,1.654
141.121,61.926,64.6,4.5,1.652
141.585,62.051,64.7,4.5,1.656
142.052,62.174,65.2,4.4,1.661
142.545,62.302,65.7,4.3,1.665
142.982,62.413,66.4,4.1,1.673
143.452,62.53,67.2,4.0,1.676
143.925,62.647,67.8,3.9,1.68
144.401,62.761,68.4,3.8,1.682
144.881,62.875,68.9,3.6,1.687
145.365,62.987,69.0,3.5,1.687
145.859,63.1,69.3,3.4,1.692
146.365,63.213,68.7,3.4,1.69
146.859,63.321,68.4,3.6,1.69
147.364,63.429,66.9,4.0,1.687
147.872,63.536,65.2,4.3,1.68
148.384,63.641,64.2,4.6,1.684
148.9,63.745,64.2,4.7,1.686
149.41,63.845,63.2,5.0,1.687
149.933,63.946,62.6,5.0,1.688
150.458,64.045,62.8,5.0,1.691
151.021,64.149,62.3,5.1,1.69
151.512,64.237,62.8,5.0,1.694
152.039,64.33,63.4,4.8,1.698
152.57,64.421,64.6,4.6,1.704
153.112,64.512,65.8,4.2,1.7
153.649,64.6,66.4,3.9,1.698
154.198,64.687,67.4,3.8,1.709
154.75,64.773,68.0,3.6,1.713
155.306,64.857,68.3,3.5,1.718
155.864,64.94,68.1,3.5,1.719
156.56,65.039,68.5,3.4,1.711
156.991,65.099,68.9,3.4,1.716
157.559,65.176,69.4,3.3,1.736
158.13,65.251,69.3,3.3,1.755
158.695,65.323,69.8,3.3,1.782
159.272,65.395,70.3,3.3,1.759
159.852,65.464,69.6,3.3,1.74
160.434,65.532,66.8,3.8,1.728
161.019,65.598,65.9,4.2,1.724
161.608,65.662,66.9,3.9,1.727
162.189,65.722,67.8,3.7,1.729
162.763,65.78,67.9,3.6,1.732
163.349,65.838,68.2,3.5,1.734
163.938,65.893,68.3,3.6,1.74
164.529,65.946,68.6,3.4,1.739
165.122,65.997,68.1,3.4,1.745
165.727,66.047,67.7,3.5,1.753
166.334,66.095,68.1,3.6,1.75
166.944,66.141,67.4,3.7,1.738
167.555,66.185,66.1,3.9,1.742
168.158,66.226,65.5,4.1,1.738
168.773,66.266,65.7,4.1,1.736
169.39,66.304,66.5,3.9,1.737
170.009,66.339,67.8,3.6,1.74
170.639,66.373,68.5,3.3,1.742
171.25,66.404,69.3,3.2,1.733
171.873,66.433,69.6,3.2,1.744
172.487,66.459,69.9,3.2,1.741
173.113,66.484,70.3,3.1,1.743
173.739,66.507,70.8,3.1,1.742
174.367,66.527,71.6,2.9,1.743
174.995,66.546,71.8,2.7,1.721
175.615,66.562,72.1,2.6,1.684
176.235,66.575,72.5,2.7,1.663
176.855,66.587,72.4,2.6,1.67
177.466,66.596,72.5,2.6,1.676
178.088,66.604,72.4,2.6,1.68
178.72,66.609,69.6,3.1,1.666
179.352,66.612,68.2,3.3,1.647
179.984,66.613,67.2,3.7,1.64
180.616,66.612,67.2,3.6,1.639
181.248,66.609,67.9,3.4,1.646
181.88,66.603,68.4,3.3,1.657
182.501,66.595,69.4,3.2,1.649
183.132,66.585,69.9,3.2,1.652
183.763,66.573,69.6,3.2,1.642
184.392,66.559,67.4,3.4,1.64
185.022,66.542,65.8,3.9,1.635
185.65,66.523,64.0,4.3,1.634
186.277,66.503,64.2,4.3,1.642
187.043,66.474,65.3,4.1,1.64
187.509,66.455,65.4,4.0,1.645
188.123,66.428,65.8,3.9,1.636
188.736,66.399,66.6,3.7,1.624
189.347,66.368,67.4,3.5,1.625
189.957,66.335,67.6,3.4,1.615
190.566,66.3,68.5,3.3,1.615
191.173,66.262,69.4,3.2,1.609
191.788,66.222,69.9,3.1,1.603
192.391,66.181,70.6,2.9,1.605
193.002,66.137,70.1,3.1,1.603
193.611,66.091,69.4,3.2,1.61
194.218,66.043,68.9,3.2,1.603
194.823,65.992,68.3,3.2,1.599
195.425,65.94,67.5,3.4,1.588
196.026,65.886,66.5,3.6,1.584
196.614,65.83,67.1,3.5,1.58
197.228,65.77,67.5,3.4,1.577
197.802,65.712,68.5,3.3,1.576
198.383,65.651,69.4,3.2,1.578
198.962,65.587,69.9,3.1,1.572
199.537,65.522,70.3,2.9,1.576
200.11,65.456,70.0,2.9,1.566
200.68,65.387,70.4,2.8,1.568
201.248,65.316,70.8,2.8,1.572
201.813,65.244,71.1,2.7,1.574
202.519,65.151,69.1,3.2,1.576
202.951,65.092,68.5,3.2,1.576
203.516,65.013,68.3,3.2,1.573
204.077,64.932,69.2,3.2,1.569
204.636,64.849,70.0,2.9,1.563
205.191,64.765,70.5,2.7,1.557
205.743,64.679,71.0,2.7,1.555
206.291,64.591,71.5,2.6,1.547
206.828,64.503,71.5,2.6,1.544
207.37,64.412,71.3,2.6,1.536
207.909,64.319,71.3,2.6,1.529
208.445,64.225,71.5,2.6,1.535
208.968,64.13,71.7,2.5,1.53
209.489,64.034,71.9,2.5,1.53
210.006,63.936,71.9,2.4,1.532
210.511,63.839,72.0,2.5,1.524
211.022,63.738,72.4,2.3,1.517
211.537,63.634,72.3,2.4,1.512
212.049,63.529,72.5,2.3,1.512
212.557,63.422,72.6,2.3,1.504
213.062,63.314,72.9,2.2,1.498
213.563,63.204,72.8,2.2,1.499
214.061,63.092,72.7,2.2,1.498
214.548,62.981,72.6,2.3,1.489
215.047,62.866,72.4,2.4,1.484
215.526,62.752,72.5,2.3,1.482
216.01,62.635,72.3,2.4,1.475
216.491,62.517,72.0,2.4,1.471
216.968,62.397,72.0,2.4,1.469
217.434,62.278,72.2,2.3,1.466
217.897,62.158,72.4,2.3,1.459
218.349,62.038,72.7,2.3,1.46
218.805,61.916,72.7,2.3,1.456
219.257,61.792,72.7,2.2,1.443
219.714,61.664,72.6,2.2,1.436
220.167,61.536,72.7,2.3,1.45
220.617,61.407,72.5,2.2,1.448
221.064,61.276,72.5,2.2,1.446
221.507,61.144,72.6,2.3,1.441
221.947,61.011,71.6,2.4,1.432
222.377,60.879,71.5,2.5,1.434
222.81,60.743,71.2,2.6,1.431
223.24,60.607,71.0,2.6,1.424
223.694,60.461,71.4,2.6,1.422
224.097,60.329,71.7,2.5,1.422
224.51,60.191,71.9,2.4,1.412
224.927,60.051,71.5,2.5,1.406
225.328,59.913,69.0,3.0,1.372
225.733,59.773,67.0,3.3,1.353
226.134,59.632,65.7,3.8,1.342
226.539,59.487,65.3,3.7,1.328
226.94,59.341,65.9,3.5,1.324
227.339,59.195,65.9,3.6,1.328
227.76,59.038,65.9,3.9,1.322
228.121,58.901,65.6,3.9,1.319
228.51,58.752,65.8,3.7,1.322
228.897,58.602,65.1,3.8,1.32
229.281,58.451,64.6,4.0,1.318
229.662,58.299,64.2,4.1,1.309
230.04,58.146,65.3,3.9,1.309
230.415,57.992,65.0,3.9,1.302
230.787,57.838,66.0,3.6,1.292
231.151,57.685,66.6,3.5,1.295
231.517,57.529,67.6,3.3,1.286
231.881,57.372,68.3,3.2,1.287
232.237,57.217,68.5,3.2,1.283
232.59,57.061,67.4,3.3,1.275
232.94,56.905,67.6,3.3,1.263
233.288,56.747,67.3,3.4,1.251
233.633,56.589,67.3,3.3,1.243
233.982,56.428,67.5,3.3,1.239
234.328,56.266,68.1,3.2,1.226
234.671,56.103,68.4,3.2,1.219
235.012,55.94,68.6,3.2,1.21
235.35,55.776,69.1,3.1,1.206
235.717,55.595,69.6,2.9,1.197
236.019,55.446,69.9,2.9,1.194
236.366,55.272,69.6,3.0,1.187
236.678,55.113,68.6,3.0,1.177
237.0,54.948,68.3,3.1,1.159
237.329,54.778,68.0,3.2,1.144
237.645,54.612,67.2,3.3,1.142
237.96,54.445,66.8,3.3,1.142
238.272,54.278,66.3,3.4,1.142
238.582,54.111,66.7,3.4,1.13
238.89,53.943,67.4,3.4,1.116
239.2,53.771,67.5,3.3,1.112
239.514,53.597,67.5,3.2,1.105
239.815,53.427,66.8,3.5,1.102
240.12,53.254,66.7,3.4,1.099
240.422,53.08,67.4,3.3,1.089
240.722,52.906,67.5,3.2,1.08
241.021,52.732,67.9,3.2,1.078
241.312,52.559,68.3,3.2,1.062
241.607,52.384,68.2,3.2,1.057
241.899,52.208,67.8,3.2,1.055
242.189,52.031,66.6,3.4,1.058
242.478,51.854,66.5,3.6,1.051
242.765,51.677,67.1,3.4,1.042
243.045,51.502,66.9,3.3,1.013
243.323,51.326,66.6,3.4,1.013
243.596,51.153,66.6,3.5,0.999
243.871,50.977,66.2,3.5,0.989
244.148,50.797,66.2,3.5,0.983
244.424,50.617,66.5,3.5,0.981
244.699,50.437,66.6,3.4,0.981
244.971,50.256,66.2,3.6,0.974
245.242,50.075,66.2,3.7,0.967
245.511,49.893,65.0,3.8,0.959
245.775,49.714,64.2,4.2,0.952
246.041,49.531,63.0,4.4,0.953
246.309,49.346,63.1,4.3,0.952
246.568,49.165,62.7,4.5,0.952
246.829,48.982,62.8,4.4,0.939
247.089,48.798,63.4,4.4,0.932
